Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
Great hotel for staycays,Yotel is ideal for both families and friends to chill and hang out. It is also very conveniently located in town where you can access food and shopping easily. Cool and modern deco. Friendly and helpful hotel staff.,50,Jul-21,Undisclosed,1,0
Good Stay at Yotel,"Good stay in Yotel, and the robot is so cute and cool.   The window view is in the toilet, it will be good if can switch the bed and toilet.....Then we can have view all the time...  the shampoo and body wash smell so good！Love it！",40,Jul-21,Undisclosed,2,0
Warm and cozy,"Although the cabin was quite small, it was just nice a fit for 2-3 guests. The overall comfort level was good and it was at a very good location. The robots which they utilized to transport up extra towels/water was really cool! ",40,Jun-21,Undisclosed,1,0
Relaxing Staycation for One,"I thoroughly enjoyed my stay at Yotel!  Although I was wondering how the emphasis on technology and functionality would impact my overall experience, I must say it didn't matter much in the end. The staff were helpful, friendly and earnest in their service. When I needed a lightning cable and HDMI cable for my ipad, the mission control staff were quick to help (though I must say I was fortunate enough to snag a lightning cable before they were all taken). When I asked to spend my $40 F&B voucher over multiple visits to the restaurant rather than all at once as required, the young man speaking over the line made sure that that could happen since I was staying alone and would find it hard to eat and drink $40 worth of food at one go.  The gym is rather small and could be better…",40,Jun-21,Undisclosed,18,13
"Great Staff, Great Stay!","The check in staff was super friendly, and he was detailed as he even wished me advanced Happy Birthday based on my particular. I had a connecting rooms and everything was superb! When I requested some amenities to be sent up to the room from the robots (Yoshi and Yolanda), the service crew was also nice enough to give me a call to tell us that the robots was low on battery and offered to send it up. (understandable because it was a weekend booking and everyone wants to see the robots in action!) ",50,Jun-21,Undisclosed,2,3
Staycation,The cabin was modern minimalistic. The toilet design was great with the 2 different types of blinds. The variety of channels to offer was good. But maybe the type of bed should be better as it was a little uncomfortable. Overall it was a great stay.,40,Jun-21,Undisclosed,1,0
Best Hotel Ever,"The place is clean. The staff that attend to us polite, professional and she mention everything with detail. The bed is comfy, the cabin room is cozy and nice. Modern kind of hotel. Overall experience is perfect. ",50,Jun-21,Undisclosed,1,0
Recommended,"Small and cozy, smooth check in and out, Comfortable bed. Breakfast can have more choices, ordered orange but came half a cup. Don’t have a proper place for work. Convenient location. Overall recommended",40,Jun-21,Undisclosed,1,0
Terrible Birthday Staycation,"I checked in late evening on my birthday and the front reception was adequate but not pleasant - the staff had my IC, they should know it’s my birthday, it wouldn’t be hard for them to wish me a happy birthday?  Room was small but functional, but being someone with chronic back and neck pain, the bed was unacceptable.   It was the kind of bed that flattens when you sit on it. The depression in the mattress was unacceptable - what to expect from a mattress that literally bends right? Even when I’m lying flat you can feel the depression towards my lower back. I have been to plenty of budget hotels and hotels of similar price point (for example Msocial) and it was never a problem.   I ended up checking out at 2.30am after trying to sleep and getting a headache from the lack of…",10,Jun-21,Travelled as a couple,4,0
June weekday-cation,"A month later, back to my hobby again. Supposed to staycay last week and plans changed. Now im here and trying out this hotel, modern, amenities were pretty basic and comfortable enough. Bathroom was weird that have to use blinders for privacy. The room itself doesnt block outside noise so its kinda hard to sleep.",40,Jun-21,Travelled solo,74,33
Yotel to the Future ,"Always heard of this Yotel experiences from social sites,  and now finally I have a chance to Yotel in ! Had a fantastic stay at Yotel Orchard. From check in to the cabin, there was nothing but Wows ! Check In was quick and fast and thank You mission crew for  the high floor cabin I got.  ""Space Lift"" was fast to with 6 lifts available for guest to go up and down. Lifts comes in wonderful lights that make you go whoooo   I booked the Premium Queen Room with Overhead Bunk Bed. It was a fantastic experience having this cabin! Queen bed was comfortable with Up/Down buttons to adjust to sleep or just to laze to watch TV  Room is indeed small n compact but hey, everything u need is in the room ! Bottle water, TV, WiFi is Free!   Bathroom is the best factor I had for this cabin! It…",50,Jun-21,Travelled with family,197,81
Good experience,Everything was great except for strong sewage smell coming from the toilet. Also hard to eat as there is no proper tables and chairs to use. Bed was comfy with the smart bed function. Overall great experience.,40,Jun-21,Undisclosed,1,0
Stayca,I would suggest Yotel to provide a HDMI extender for users to connect gaming devices such as nintendo switch to play on TV.   To have a Netflix channel to allow users to login to our own Netflix account to watch movies  To provide small foldable chairs for dinning in rooms during this pandemic period.   Overall still a good experience!   Just some suggestions to improve! Thank you Yotel! ,50,Jun-21,Undisclosed,1,0
Awesome experience,Wrote the awesome stay i had in the previous page maybe this slot is unnecessary but overall perfect stay it was from the time we check in till the day we check out so thank you and good job see you again soon,50,Jun-21,Undisclosed,1,0
Great customer service,"I would like to take this chance to thank the team for offering early check in @7am, which is really not expected. The team has also gave us a handwritten birthday card & macaroons for my another half as it was his birthday. Thank you for putting in so much efforts as well as time for this, really appreciate it and we will definitely come back again ",50,Jun-21,Undisclosed,1,0
No room service for this price please note.,"Service was great don’t get me wrong but the problem was no room service for the price I’m paying. Maybe if they coated themselves as budget hotel, I wouldn’t have had a minimum expectation to get a bucket of ice sent to my room to drink! Since no dining in is allowed in Singapore due to covid, we had to dine in the room but no table was found. Thought it was gonna be some hidden table somewhere but nope, had to eat on top of the safe box. ",30,Jun-21,Undisclosed,1,0
Cool Hotel,"This hotel feels like a sci-fi movie. The features are amazing with the creepy singing robots delivering stuff to the room, it was a seamless experience to communicate with the robot! It was really fun ",50,Jun-21,Undisclosed,5,3
Wonderful hotel!,The hotel is very clean! Lovely service. People are nice! There is swimming pool and a gym (although cant go it coz of COVID guidelines)  Interesting bed that is able to adjust the inclination (which are good for ppl with acid reflux/gerd coz dont have to bring a wedge pillow). All rooms even comes with hairdryer and iron.  The location of Yotel Orchard gives access to many food and eateries. And you can also shop around.   Overall this hotel is a perfect little gem. And will definitely come back again.,50,Jun-21,Undisclosed,1,0
Love it!,"Really loved the hotel. Needed a short getaway and a short break from life and this is worth every dollar!!!! Room was very clean, and the staff was very professional and friendly. I enjoyed every little bits for what the hotel has to offer!",50,May-21,Undisclosed,1,0
Staycation at Yotel,"The check-in procedure was fuss-free and quick. The customer service was swift and professional. Initially, when we entered the room, we felt that it looked small yet it felt cozy too. The bed was very comfortable to rest in and it could be reclined and inclined to our comfort level. The shower area was spacious as well. When we dialed for extra items, a robot came and the items were provided quickly as well. We opted for the breakfast for 2 for Western and the quality was great. Overall, the stay was enjoyable. ",50,Jun-21,Undisclosed,2,0
My experience of fire alarm,The fire alarm that was activated in the middle of the night and asking us to evacuate was really scaring experience for us . The following noon the fire alarm was activated again . We didn’t have enough sleep as we were woken up by the alarm . ,30,Jun-21,Undisclosed,1,0
Central and Futurisitc,"Upon stepping into the establishment, you will be transported into somewhere in the future, with robot butlers and space-themed references to make you feel (literally) out of this world. The amenities are decent, with a owner offering a gorgeous view of the city, and a bed that can transform into a sofa with the click of a button.   However, do not expect a large room as this is meant for a traveller or couples on the move.",40,Feb-21,Travelled solo,41,44
Best Hotel yet!,"slept through the whole nighttttt for the very first time when i go for a staycay. i dont usually able to sleep when i go to hotels but you guys, the quality of sleep i had was amazing. the bed, the room, the robots, the customer services was impeccable. Good job Yotel Orchard! ",50,May-21,Undisclosed,1,0
Location!location!location!,This was a kind of our stranded trip because our connection flight was disrupted. We decided to stay at Yotel Orchard based on my previous experience. Small but functional room and the location is the best!,50,May-21,Undisclosed,1,0
COZY,"The room and smartbed was cozy for a small room, lovely with the rain shower. Great for a short staycation! Would recommend others to try out as YOTEL has cool robots, Yoshi and Yolanda to deliver items to the rooms.",40,May-21,Undisclosed,1,0
great price for a great location,"small rooms, but well worth the price as it's situated at a prime location. bed is a bit on the softer side as it sinks in, so if you're someone who prefers firm bed, this may not suit your back.  thanks to their service staff who noticed my bf's birthday and sent a robot up to deliver macarons and 'sing' happy birthday to him. really great customer service.",50,May-21,Undisclosed,1,0
Great experience!,"I had a great stay at Yotel. An amazing experience with a team of friendly and professional mission control team. They responded to my requests during my stay and offered a complimentary late check out. Although the room was slightly small, it felt cozy and comfortable for my partner and I. ",50,May-21,Undisclosed,1,0
Value for money,The cabin was comfortable and clean. The balcony overlooking orchard road was a plus point and the smart bed was one of a kind. Staff was friendly and warm. Chek in and out experience was a breeze. Strategically located and value for money.,50,May-21,Undisclosed,9,22
A pleasant stay,"My kids and I love the ambience. Though the rooms are small, it's comfortable and cosy and that's what is most important for us. It's a hotel that I will definitely recommend my friends to. Thank you Yotel!",50,May-21,Undisclosed,1,0
Shalala your stay with Yotel,I have the most pleasant experience with Yotel Orchard.   The room is consider small but the service is 5 stars. From checkin to checkout all is smooth. They even handwritten birthday cards just like how airline do during special occasions plus the staff give a macaron for the birthday boy.   Breakfast options is fairly ok. There’s room for improvement.   Kudos to all the staff and may everyone is safe from covid. ,40,May-21,Undisclosed,1,0
Worth the stay,"Although the room is small but the moment i stepped in, i feel the comfy and clean feeling which is very important..   and due to the last min of the change of regulation due to the covid, hotel staggered the check-in timing and we managed to check in at 9am to avoid the crowd. Thank you!   The staff is nice and friendly too. ",40,May-21,Undisclosed,2,0
Very cozy,"Despite the room being small, it was very cozy and comfortable. The overall theme is very cool, especially the lifts. A good place for mirror selfies. But there is no room cleaning service (only once in 3 days?) so my bf had to change the bin himself after the first night (we stayed 2 nights). There is no other bin in the hallway so we left it outside the room where someone collected. Other than this, all else is alright.",50,May-21,Undisclosed,1,0
Value for money hotel,Hotel was great for the money paid. Good service by both human and robot. It was a good experience mixing technology and human service. Will definitely book again for a short getaway. Will recommend to my family and friends as well ,50,May-21,Undisclosed,1,0
Staycation,Unique smart bed. Would be better if able to connect to Apple phones or iPad to the tv. Overall very clean hotel and location is conveniently located near shopping and eateries. Great view from the rooms as well.,40,May-21,Undisclosed,1,0
Great stay,1)Amazing hotel with Super clean room  2)Excellent service  3)Stunning view and Great location. Lots of entries within walking distance and sourrond by shopping. Less than 10 minutes by foot to MRT Orchard Station.  Strongly recommend. Differently will back.,50,May-21,Travelled solo,28,16
Great experience,"Had a very good time. View was excellent. Room was great. Would definitely recommend this. Location was close to station. Very easy to find. Good to make connection of iPad to TV easier. Other than that, everything was good",40,May-21,Undisclosed,1,0
excellent stay,"loved it, will come back again. had a really good time! bed was comfortable, loved the shower and toilet facilities. room was clean. good customer service, fuss free check in and check out experience. good location at the heart of orchard road.",50,May-21,Undisclosed,1,0
Room to improve,"Everything is good, hotel staff is very professional and nice, the birthday song from the robot is a nice touch, room design is nice. However, the dirty blanket and the super uncomfortable bed spoil everything, basically can't sleep well at all. ",40,May-21,Undisclosed,1,0
Hotel stay review,"The breakfast was at a good portion , service was good. But one think that can be improved is that if only the room can be slightly bigger. The view I got on 29 floor was awesome! Contactless robot yoshi sending us our amenities was damn! I’ll will definitely come back again when there is great deals! ",40,May-21,Undisclosed,1,0
Awesome stay but breakfast is not worth it,"The stay was awesome, staffs were really “on the ball” and ready to serve guests anytime. We had to pre-book a timing for swimming pool but realise there was a lack of control of time spent in the pool restriction. A couple was in the pool for more than 1hr 30mins and still there after we left. Also, when we had our breakfast. I realise macdonals could have deliver a better version than them in a cheaper price. Breakfast is only limited 1 set per pax and the amount is not even filling. Suggest people to eat out instead! ",40,May-21,Undisclosed,1,0
Stayover,"The bed is too soft and not so comfy cracking sound whenever there is movement. Breakfast werenot served hot and variety is limited. However, overall is a good experience for my family. Location wise acceptable ",40,May-21,Undisclosed,1,0
Great for a solocation,Yotel had everything I needed for a short staycation. Location was great too as it was located within orchard and had direct access to International building. I highly recommend it for solo travellers or couples who just want to enjoy a short relaxing staycation but probably not for bigger groups as the rooms are small cabin-sized. I loved the adjustable bed and the softness was just heaven! Slept really well for both nights I was there and I was kind of reluctant to leave on the last day of my solocation.,50,May-21,Undisclosed,1,0
Staycation at Yotel,"Although room is small, it is well designed and gives that cosy compact feeling. Location of the hotel is superb too. Right beside a shopping mall with cinema and walking distance to other shopping malls.",50,May-21,Undisclosed,3,9
Your go-to hotel guys!!,"This is your go-to hotel for staycations or business trips. Be it solo, family, couples. Superbly designed, modern, user friendly, space saving design in compact rooms, designers did a spectacular job. Clean interiors. Hotel management did an excellent job in maintaining this standard of service be it cleanliness of rooms, front desk reception, restaurant service, food quality etc. Keep it up! This is your go-to hotel for staycations or business trips. Be it solo, family, couples. Superbly designed, modern, user friendly, space saving design in compact rooms, designers did a spectacular job. Clean interiors. Hotel management did an excellent job in maintaining this standard of service be it cleanliness of rooms, front desk reception, restaurant service, food quality etc. Keep it…",40,May-21,Undisclosed,1,0
Overall everything is good,"Overall location is good,  although the room is small but it clean and comfortable. Value for the price. Yoshi and Yolanda is cute and interesting too. Get them to deliver water to your room. Will visit again.",40,May-21,Undisclosed,1,0
Great stay,"Overall the hotel stay at Yotel Orchard was great. It's located around heart of Orchard so shopping and dinning is convenient. Although the hotel room size was quite compact for 2 person to stay in, there is still some allowance for movement. The bathing area was great, there was a nice view where can view the sunrise and sunset.",40,May-21,Undisclosed,1,0
First stay in Singapore Hotel ,It was great for a good location at Orchard Road.   Room is clean and bed is comfortable to sleep. WiFi are strong connections within the hotel.  Customer service not so good as is slow to response.   Overall is good and I will come back again. ,40,May-21,Travelled solo,136,75
"Lovely hotel, great service hotel, good price!","Lovely hotel with all the amenities you can find in a 5 star hotel, just right for a short stay since limited space for luggage. Great service from all staff especially the mission control team. Staff were very accommodating to our requests and whatsapp one day earlier informing us that we could check-in early was such a nice surprise.  Robots were so cute. Kids absolutely loved climbing up and down the bunk bed and seeing the robots go on their missions. Neat view from the bathrooms as well. Breakfast was busy and food only so-so but good variety. Really easy to eat out and pick up food from surrounding orchard road. Very convenient location, sheltered pathways all the way to orchard mrt station which is very nearby. Excellent price for all the good points above!   ",50,May-21,Undisclosed,22,28
Compact modern room,"Room was small and compact with barely space for luggage. Very compact size. Interesting concept of gliding bed with button by the side. For 3 pax, it was small Queen bed with a single bunk bed on top. 2 kind of blinds (dark and light) at the bathroom with shampoo, conditioner and shower cream. Got hand sanitizer, toothpaste, toothbrush, hand soap, hand lotion by the sink, plus paper cups, iron, and hair dryer in drawers. Got USB ports under the TV and next to the phone. Call 30 for complimentary bottled water if the 3 bottles next to the TV were not enough. Will be delivered by the in house robot. Free WiFi.",40,Apr-21,Travelled with family,1129,93
Staycation,"We all have different expectations based on the price we paid for the hotel stay. For a 5 star hotel, i will have a set of higher expectations and more critical but i am fully aware that this is not a 5 star hotel, and for the price i paid for yotel, it is definitely value for money, if not exceeding expectations.  Some criterion cannot be compromised no matter the class of hotel. They are..   Cleanliness The hotel is clean, the towels are fresh, and no foul or cigarette smell.  Functionality The heater and aircon is working fine. The lights are working fine, in fact didn't find any faulty areas  Basic Ammenities There are shampoos, body wash, hand wash, body mosturiser, toothpaste and toothbrush. Hair dryer, iron and even an umbrella. (considering the rainy weather in sg)  …",50,May-21,Travelled as a couple,47,33
"So-so, you get what you paid for","The hotel was difficult to find, needed 5-10 mins of walk. Rooms were tiny, but overall it was clean and the service was not bad. The views were meh, breakfast was slightly cold when it was served to me.",40,Apr-21,Undisclosed,3,5
"Cabin concept, simple yet stylish","The room may be smaller than other hotels but there are space under the bed for big luggage, a luggage rack and a open concept closet to open the small luggage. The food at komyuniti is delicious! Try the carbonara and juices! They also have many promotions. Rooms had the basic amenities and the pool is small but pretty. Gym has limited facilities but enough for basic workout like weights,treadmills etc. Bed is comfortable and pillows have two types I believe. It is still soft pillows but frankly, harder than many other branded hotels I stayed in. The service is awesome. They wrote a handwritten card and that's not something all hotels invest time in. Theres no bellman but expected from the covid situation of manpower crunch. Overall a good stay, will recommend if your priority…",50,Apr-21,Undisclosed,4,3
Relaxation staycation,"Stayed in yotel orchard! Would love to thanks to “Winnie” front office staff who is friendly greeted us when the first moment we are going to check in and help us to check with our package cause we wasn’t sure our room included breakfast!  We were stayed in the second highest floor ( lvl 29 ) ! Woah ! The room itself is pretty cozy and I loved the decoration of their design with the bathroom! Is an open window where u can see the city when u are taking shower ! 😂 Very unique and fascinating plus they provided big bottle of shampoo unlike other hotels. I would also like to thanks “ aidil “ when we were entering the restaurant for the breakfast with his friendliness and services  ! Overall, it is a good place for staycation! Would recommend to my friend for this hotel !…",50,Apr-21,Travelled with family,12,0
Good stay at Yotel,"Had a relaxing stay at Yotel Orchard. Nice view,good gym and relaxing pool. Staff are kind.Room is clean though small.No sofa  but small chair. Very convenient location next to Shaw centre,lots of food options and shopping.Isetan,Wheelock nearby. The cafe on 10th floor is ok ,discount for hotel guests .Had a queen bed but prefer twin beds, since staff very kind to give me a lovely view room ,I was happy !!",40,Apr-21,Undisclosed,1,0
Poor Quality Bed and Mattress,"The bed and mattress quality is really bad.  We even tried to sleep with heads on the other end as it is slightly flater than the headside.  We decided to check out about 2am plus, as we were unable to continue using the Smartbed.  To be honest, a good and comfortable bed is the basic for a hotel. This Smartbed fails very poorly in this aspect.   The mattress sinks in on the edge and si­des, does not provide support, same thing for the pillows. The quilt material al­so makes it uncomfor­table to use.  This is something the hotel should review if it wishes to pr­ovide a good stay for the customers.  And we decided to skip the breakfast too even though we had paid for it for 3 pax.  Overall, a very negative experience Staycation at Yotel Singapore!",10,Apr-21,Undisclosed,1,0
YoTel Orchard,"Room was clean, tidy n neat. No cigarettes smell. Walking distance to eateries n shopping in e heart of Orchard.  Yolanda n Yoshi, e stars of YoTel, should tried out using them to deliver ur material water or towel. ",50,Apr-21,Undisclosed,1,0
Quiet and peaceful right smack in Orchard Rd,"Affordable. Excellent location. Walking distance to shopping, eateries and just to people watch. 24hrs cafe nearby. Covered walkway to shopping centres. Cool cabin with the right aircon temperature. Water pressure for showering was amazing. Had the most peaceful sleep. ",50,Apr-21,Undisclosed,9,0
Excellent hotel,"Excellent location being at the heart of the city. Near shopping malls and mrt. Clean, quiet, value for money. Offers early check in which is is a good offer, like stay been prolong for free. Thanks everyone, thanks to all the staff",50,Apr-21,Undisclosed,1,0
Value for money and everything u need for a short staycay,"I actually really liked the YOTEL concept of ""taking the essential elements of luxury hotels into a compact, but smart space"". They have 2 other YOTEL concepts as well - YOTELAir and YOTELPad targeted at different type for travellers. I admit that this is not exactly a staycay property to lust after but I figured if I didn't mind so much the 10SqM YOTELAir room back in 2019, I definitely will survive a 14SqM.   Location - Nestled right behind / alongside Isetan Scotts / Shaw Centre on Orchard Road, the property is a little hidden from the madness of the shopping belt yet smack in the middle of everything. You have Orchard station (NS22) about 5mins sheltered way away for public transport and numerous bus services which stop besides.   Price - $150++ booked under the Stay Yo Way,…",40,Apr-21,Undisclosed,2094,290
Perfect Location and comfortable rooms,"Location was perfect and it was a short walk away from the orchard underground linkway to various malls, pretty much sheltered all the way too. Rooms are quite small but comfortable, more suitable for staycay people who don’t need much space or don’t stay indoors all the time. Be careful when taking up their early check in request as encountered their staff biting back at me for checking in early when I requested for late check out as my family and I are heading out on check out day and was afraid might not come back in time to check out so asked as a precaution.",40,Apr-21,Undisclosed,2,0
excellent and enjoyable stay,comfortable and cozy room with great lightning in room. Huge window for city view and good ambience to enjoy a shower with those stunning view. Despite room size is smaller then average but many factors overcome this tiny down side. ,50,Apr-21,Undisclosed,2,0
3D2N Staycation,"Hotel location is convenient walking distance to Orchard shopping. Rooms are too small but compact which want we need, only thing not comfortable is the mattress and pillows too soft (should improve on these). Service crew are polite and friendly ! If got promo don't mind to come again.",40,Apr-21,Undisclosed,1,0
Yotel Experience,"Overall experience is ok. Good location, clean, great staff & new experience with robot. Just room is really small and not worthwhile to upgrade. Not suitable for family with young kids unless you are willing to pay for experience. ",40,Apr-21,Undisclosed,5,0
Staycation,"The room is clean. For location wise, it is very accessible    to varieties for food. Located near to shopping malls and Orchard MRT as well. The staffs were very friendly. Checking in/out is very simple. would consider to come back for another round for staycation.",40,Apr-21,Undisclosed,1,0
Recommend to stay here!!,"Checked in on good friday. Took around 2hrs to check in due to the long queue..Room is very clean i would say, everything is working well..bed is cool able to adjust. Easy to connect laptop to TV with HDMI cable to watch youtube & disney+. Room is just nice for 2 pax, would definitely book here again!",50,Apr-21,Undisclosed,1,0
staycation value hotel,No complaints on the location. It is very assessable to all big shopping malls.  The room is pleasant. good for solo or couple staycation the view is great due to the high floors. the internet is stable and fast.  ,40,Apr-21,Undisclosed,1,0
Staycation,"Booked this hotel after reading the many good reviews left by guests.   Many thanks to the hotel to accommodate our request for adjoining rooms, the early check-in, and the birthday surprise delivered by Yolanda.  Many thanks also to Eswari and Aldrina for the patience shown in clarifying the parking charges. S$21.40 for a single-use exit pass regardless of the number of hours/days stayed.   The location of this hotel is very good. There are many big shopping malls and food establishments right beside it. The MRT is very nearby too.   The room layout is somewhat unconventional with the bathroom located right against the exterior windows. This means guests have to choose between privacy or good view and natural light.  It also means lots of curtains up/down. It will take some…",50,Apr-21,Undisclosed,37,5
Cool get away right in the heart of orchard road,"Great cool hotel for a staycation.  It is so convenient to walk everywhere on orchard road!  Though the room is a little small, the high floor makes up for it!  The breakfast was straight forward and quick service!  I love to hang out for drinks another time!",40,Apr-21,Undisclosed,17,10
"Nice Views, Uncomfortable Bed.","Views of Orchard Road were nice although it was troublesome to have to lower the blinds every time I needed to use the toilet.  Although futuristic, I was very disappointed by the bed.  When it was flat, I could feel a depression where the 'bend' of the mattress occurs.  It led to a very uncomfortable night's sleep.  For those who are sensitive to their mattresses, you may want to give this place a miss.",20,Apr-21,Undisclosed,27,25
Awesome cosy hotel,"Awesome team at hotel. Complementary early check in and check out via self service touchscreen.  Clean and cosy room. Near Orchard MRT, Shopping Mall and cinema. 24 hrs cafe round the corner and 24hr convenient shop near by. Decent breakfast",50,Apr-21,Undisclosed,1,0
Enjoyable stay,"The hotel is suitable for family. The location is fantastic. I would definitely recommend to my friends and family. Will come back again with my family. Although the room is small, it is cosy and compact.",40,Apr-21,Undisclosed,1,0
Bed that moves,"Soft beds, breakfast not fantastic, gym size can put about 5pax, love the complimentary early check in, nice staff and free flow of water. Bed can be adjusted up and down with button, sensor lights for the room, know how to light up when you wake up, cabled tv channels but not smart tv, rain showers, good amenities ",30,Apr-21,Undisclosed,29,25
Hotel review,"I love how the hotel are just walking distance to the shopping malls. It is super convenience, cozy and totally love the view. Would definitely recommend this hotel to my friends. I wouldnt mind coming to this hotel again!",40,Apr-21,Undisclosed,1,0
Will definitely come back,"Love the view at night from the shower area. Efficient layout for a small room roughly 14-16sqm. Amenities will good. Towels are clean, sheets are clean, bed are super soft. Its a happy place with purple grey theme. Similar to M social but much better.",40,Apr-21,Travelled as a couple,29,8
Yotel Staycation,"It was a convenient and not over-priced hotel to consider within the heart of Orchard. With minimum contact, they have 2 cute robot, Yolanda and Yoshi to do the errands. Room is just big enough for 2 to 3 pax. Otherwise get the bigger room.",40,Apr-21,Undisclosed,3,0
Nice hotel,"Overall the hotel room is quite decent. Staff are extremely friendly and quick to attend to your enquiry/request. Amenities in the room are fantastic, they have everything that you need like iron & iron board, umbrella, shampoo, conditioner, body wash, body lotion and hand wash.",40,Mar-21,Undisclosed,1,0
Awesome Stay @ Yotel SINGAPORE,Complimentary Early Check-in.. Very Clean Room - Thank you to the Chambermaid who cleaned up & prepared the room for my check-in.. 😀 Friendly & accommodating staff all around.. 😄 Super cute Yolanda & Yoshi... 🤣 Room Amenities are well stocked up & good... ☺️ Western Cold & Hot Breakfast range is Big & Yumms 😛,50,Mar-21,Undisclosed,2,0
Staycation,"Hotel room was cool, I like the robots sing bday song for me, the city view was nice, the toilet floor is slippery after shower, the bed is recline so it’s new experience, but the blanket is full of dust fibers especially when we sit and move the blanket fiber dust start to floating around the air.",30,Mar-21,Undisclosed,1,0
"14m2 small room, shower silhouette transparent glass, aircon 21 to 24 degree, BF takeaway, No Free Parking","The hotel is newly built in 2017. There are 610 rooms. Parking is $20 per day or $3 per hour entry. There are 30 floor. Room temperature can only be set between 21 to 24 degree. You can ask for extra towel, mineral water, shaving kit again. Reception lobby and drop off area is located at level 2.   During check in you have to scan the qr code. Then the staff would direct you to the counter and assist you to check in. Need to fill up form and write in your full nric number (not last 4 digits) and date of birth. This is for all guests and visitors. Room floor and room number is already assigned to you. Similar to airline self check in system where you can't choose the floor or room. The lobby is like a touch and go station. No seat or sofa like other 4* and 5* hotels in Singapore.…",30,Mar-21,Undisclosed,8538,415
Thank Yo!,My family and I enjoyed our stay and we appreciate that we were assigned connecting rooms. That was a nice touch. Thank you for the complimentary early check in as well! We got to start our plans early. Wouldn’t mind making a second trip to Yotel in future. :),40,Mar-21,Undisclosed,1,0
1 Night stay at Yotel,This is one of the nicest hotel I've been in and I've stayed at expensive five star hotels before. Of course you shouldn't expect the greatest facilities or a huge room for the price you're paying. But the room is frankly amazing. I will definitely be coming back here,50,Mar-21,Undisclosed,1,0
G8 breakfast served by g8 waiter,We were very impressed with d way breakfast was served as we did not have good service or food at Carlton Hotel.We were served by mdm Eileen who anticipated our needs even before we asked. The staffs at reception are very young but respectful.,50,Mar-21,Undisclosed,1,0
Staycation in March.,Generally ok. Cups for brushing teeth not provided. Wireless screen mirroring intermittently disconnected. Wash basin outside toilet and shower require additional time to get used to. Room service for cleaning is provided only upon request.,30,Mar-21,Undisclosed,3,0
Best bang for your buck!,I would like to express my sincere gratitude to the team especially Shahrul whom arranged for an upgrade as me and wife were celebrating our anniversary together. He was extremely nice and pleasant to talk to. Thank you very much for making our stay as comfortable and smooth as possible. It's only a day and we've already missed Yolanda and Yoshi! They were really helpful!,50,Mar-21,Undisclosed,1,0
Futuristic hotel,"Enter next to Thai Embassy.    Swift check in and out. Room is small but sufficient. Retractable (hospital type) bed to save space. Safe provided. Ample toiletries, coffee tea, bottled waters in room. Clean sheets and towels. Full length window through the bathroom.  Lots of food and marts around hotel. Room service by robots. Cool, though not interactive.",50,Mar-21,Travelled with family,215,134
One of the best staycay experience.,Overall our 3D2N staycay experience was splendid and we enjoyed our stay in Yotel greatly. It was value for money and location is great as well. It was a birthday celebration for my partner.  We are thankful for the complementary early check in given and the great service by the staff. The room is small but we are not bothered by it as the toilet make it up for space and view. A robot- Yolanda came up to sing my partner a birthday song with macarons and card signed by the staff.  The gym experience was just good as well. It was an enjoyable stay and we would love to come back again next time. We love the robot too. :) ,50,Mar-21,Undisclosed,2,4
Staycation with friends,Quite as okay hotel for its price. But the shower is not suitable for 3 people. Should at least provide an extra blind outside the toilet to prevent others from looking inside while others are showering. As people may mistake this as a hotel made for couples for other purposes.,40,Mar-21,Undisclosed,1,0
Not value for money,"Choose the hotel as we have errands to run in orchard and the price was within budget. However, in the end we paid $40+ for parking. Which we can stay in a better hotel. No housekeeping done when we were out. Overall, not value for $ and definitely our last visit",10,Mar-21,Undisclosed,2,0
Staycation,"Good location in orchard. Very accessible to ion, taka, shaw, tangs and many more. Room was very small. Cool bed. But room service need to improve. Requested for 2 face towels, waited for more than half an hour. Need to call a second time then send over 1 only. Should include the face towels in the room. ",30,Mar-21,Undisclosed,2,0
"Good location, efficient use of space, value for money","Excellent location, just behind main Orchard Road shopping belt. Hotel and interior furnishings looks new.  Rooms though small but efficient use of space. Despite lower price for Singapore hotels, still provides most amenities including toiletries, hairdryer, iron & ironing board, water boiler, safe and small fridge. Toilet is of good size, no need to shower beside the toilet bowl getting it wet and enough leg space in front of toilet bowl.  Wifi is easy to connect and fast. TV has free to air channels and many cable channels. You can also cast from your device to it with simple instructions on the TV provided. There is also a HDMI port on the wall beside the bed though I did not try it. A number of power points and USB power ports provided around the room.  Front desk staff…",50,Mar-21,Undisclosed,1,0
Excellent YOTEL Experience,"Checked into this property with the purpose of having it as a staycation session for my boyfriend and I. We stayed here for 2 days and 1 night (checked in on 23/03 and checked out on 24/03). The rooms are beautiful, cozy and neat and the location of this property are conveniently accessible for transportation, shopping and for looking for food places. Also, their lift lobby are lit with the neon lights which are so pretty and the hallway suits the scene for filming a horror movie. Highly recommend this property and will be back there someday!",50,Mar-21,Undisclosed,1,0
Short staycation,"Location is great, right in orchard area. Bed was a little too soft for me. hotel is clean, staff are attentive towards my needs. overall, still enjoyed my stay here. price is reasonable, will come back again.",40,Mar-21,Undisclosed,1,0
