Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
Clean room but difficult to go to room,Very spacious room with a good size toilet and clean overall. Housekeeping was well done and convenient to buy food. No mini fridge in the room and had a lot of difficulties entering and exiting hotel. Was a long way to the room. Request for extension of check in or check out was met with payments. Front counter staff were friendly.,30,Oct-21,Travelled as a couple,1,0
Exceptional service,"You should visit hotel G, the staff are very friendly and accommodating, rooms are cozy and location were very accessible for all the nearest places to visit as well to shopping malls. Thanks to Hema for handling us during our stay. She’s very accommodating and helpful..",50,Oct-21,Travelled with friends,1,0
STAY AT HOTEL G WAS FANTASTIC,"Kinda last minute decision to do a staycay with my friend for a short getaway from work. Came across Hotel G on klook and we fell in love immediately while scrolling pictures of it. Room in real life did not disappoint either, looks exactly like the picture, limited space but the hotel definitely designed and made use of the space very well. Totally in love with the love of the hotel, the coziness and not to mention the service from the staffs. The staffs were friendly and helpful, and special shout-out to Daryl! He checked us in, went through everything patiently and at the perfect pace where we can understand everything. On the 2nd night we needed some stuffs and Daryl happened to be the one assisting too 👍🏼 2 nights at Hotel G, all i can say is, worth the money, totally…",50,Oct-21,Travelled with friends,24,13
Super high service standards - Yvonne.,"Check-in was smooth and quick, and shoutout to Yvonne for the super high quality service standards! She greeted us so warmly, it felt as if we knew each other for the longest time and were like best of friends (but it was really our first time meeting each other). Yvonne's hospitality really made us feel so welcomed, we immediately knew we were in good hands!   Rooms were fine at its price, not big but sufficient. Cozy and vintage layout was surprisingly inviting especially after a stroll around the vicinity in search of good food. Room was clean and water pressure in the shower was stronger than in my own house LOL. Side note: room amenities were quite complete, but really needs a disposable comb though, we had to live with a bed head for most of the day.   As we went for the…",50,Oct-21,Undisclosed,16,6
Highlight of the stay - Daryl's excellent service,"For a 4* hotel, the facilities are a little underwhelming. The gym is small yet functional, no pool, the room is really cosy (read: small). Bathroom in good room have only little standing room for 1 person, I will easier hit the wall with a little bit bod stretch. Thankfully the water pressure is decently strong.  Noise isolation is really sub-par. I cannot sleep well due to adjacent room having loud conversations and blasting music late into the night. Staff are prompt to address feedback of the noise at 2am when called.  There are some good green initiatives in the hotel. They provide drinking water in paper cartons and rooms are cleaned every 3 days of stay.  My experience at Hotel G Singapore was elevated by the excellent service provided by Daryl. He was very detailed in…",40,Oct-21,Travelled with friends,1,0
Staycay at Hotel G - 3D2N,"Had a great time at Hotel G! My boyfriend booked this staycay for my birthday and it was terrific, really wouldn’t have asked for more. Daryl and his team was attentive and very accommodating, they gifted us with coupons for wine at Ginett, and we also had 2 of our lunches covered (not sure if it came with the package we booked). Nonetheless, it was a great experience, many food to eat within the proximity, very convenient as well. Highly recommend!",50,Sep-21,Travelled as a couple,5,0
Extremely welcoming staff - Daryl,The hotel room is small but pretty well decorated with indie design. But the whole hotel experience was elevated by Daryl who was a knowledgeable and amiable staff. He was efficient in the check in process and was patient in answering all my questions. He even went out of his way to also recommended a list of activities to do around the area as well. Really an outstanding staff that goes the extra miles for customers!,50,Oct-21,Travelled as a couple,1,0
Good staff good room,"Been here for more than 3 times and there's a good reason for it. The reception was good, I was served by Nana at the desk to my room as usual a warm welcome from them. The rooms are good with the television cable of connecting to your phone via WiFi which made it very convenient to watch your own shows on the TV. Besides that the location is very close to bugis+ and bugis Street and there are plenty of food around the area as well. Overall a great experience. Will be back for more",50,Oct-21,Travelled as a couple,4,0
"Small Room , pretty cosy.","Good value for money . Location is convenient even though no prime  shopping malls nearby but near eating places . Wish there are bigger rooms available to accommodate more in the room.  Staff are friendly , especially a sweet Malay girl receptionist . I did not get to know her name.",40,Aug-21,Travelled with friends,8538,415
"Security issue, No fridge, 4.45pm make up room, 11m2 room, $15 parking, incomplete bf set","No fridge, 4.45pm make up room. Housekeeping knocked door twice, within that 2 seconds, and then tap card come in (without my approval). before I could reach the door from the bed, the housekeeping already tapped into my room.  Security is really a concern. Called many times no one picked up call. Incomplete breakfast set. Parking is $15 per exit. Bible inside safe box, underneath your bed.  No bathtub in all rooms.   For Hotel G, there are 6 types of room. Single (10m2), Good Queen (11m2), Good King (12m2 to 13m2), Great King room (15m2 to 16m2), Greater King (27m2), Family Room (24m2). Basically the hotel rooms are ""cut"" into very small parts. Typically for 4* hotel in Singapore, with more than 300 rooms, their hotel room sizes are usually 24m2 to 28m2 for their lowest tier…",10,Sep-21,Undisclosed,1,0
Good for short staycations,- Great location! It's a short walk from Bencoolen MRT station and within walking distance to Bugis+ and Bugis Junction. - We were greeted by Nana who was friendly and helpful as she allowed us to have late check out for our stay. - Room is small but cozy and the bathroom was equipped with a toilet and shower which had a rainfall shower head! The basin was outside the bathroom though. It was also equipped with toiletries.,50,Sep-21,Travelled with friends,1,0
"Cozy, Modern, Great Location & Great Service","Great spot for a short getaway with your significant other. Made a careless mistake when selecting the check-in date when I booked via traveloka.  After some fees that were required due to booking through a third party, the Hotel G manager, Daryl took great care of us as he understood what we were going through and made the stay worthwhile.  I would really like to thank him for his wonder service as my girlfriend was upset with me for making such a dumb mistake but his service calmed her down, What more could i ask for? Hahaha  Friends if you’re reading this, Hotel G is a great spot to chill and hang out. 10/10 would recommend.",50,Sep-21,Travelled as a couple,73,18
Super Great Location For This 3 Star Hotel. ,It's was a very Great Place To Stay Due Surrounded By Many Different Eateries At Any Hours Of Time. It's Such A Centralised Location For All Activities U Wanna Go For. Will Definitely Recommend Friends To Check It Out. Also 2 Of Their F&B Outlets Was Great Too Especially Ginett Bar. The Package I Booked This Time Was Fantastic That Extremely Value For Money. ,50,Sep-21,Travelled as a couple,22,25
"Cozy and small, great stay!","I used the SRV vouchers and paid about $195 for a 3D2N stay in a king-bedded Great Room. It included complimentary parking, complimentary sparkling wine, a prop box (that needs to be returned at the end of your stay), complimentary early check-in (12pm) and late check-out (5pm), two burgers with a side and $50 Ginett dining credits.   The room is pretty small, with the sink on the outside of the bathroom. I quite like it however because it has a cozy feel. Room was very clean. All toiletries were provided (vanity kit, shower cap, sanitary bag, hand soap, shampoo, conditioner, body wash, toothbrush & toothpaste). There is complimentary tea and coffee that you can use in the room as a kettle is provided. 2 complimentary boxed water were also provided in the room.   No smoking in…",40,Sep-21,Travelled as a couple,1,0
Thank you Daryl!,"Special thanks to Daryl for being so welcoming, it’s quite rare to be given a sincere service especially when it’s the peak period but Daryl took the time to have conversations with us while checking us in. The rest of the staffs were also very helpful and friendly. They even gave us a complimentary drinks upon arrival and late checkout without even having to ask for it. Accomdation wise is super comfortable. Will definitely make a trip down again!",50,Sep-21,Travelled as a couple,1,0
Great stay with good price !,"Hotel G was very accommodating to my needs. I had my wedding on one of the afternoons and Hotel G allowed us to do a small gatecrash pick-up from the hotel room. Upon hearing that I will be having wedding, Hema gave me a complimentary free room upgrade to King room and provided free welcome mocktail vouchers for us, as well as a complimentary late check-out on the next day. The bigger sized room definitely gave us more space to put our bulky items as well as getting makeup done. The room was very clean, space was pretty okay, all basic necessities were there. What I like most about the room is the platform which the bed was on. I was able to put many bags and things on the platform instead of having to put them on the floor. Toilet was quite spacious for this price of the room.…",50,Sep-21,Travelled as a couple,19,0
Comfort and Value for Money Stay,"Good and comfortable base to base yourself on a staycation in Singapore with plenty of good food, shopping and transportation all around the Bugis vicinity. Rooms are comfortable (albeit small) with all the facilities and amenities you need except for a mini fridge. Not too many facilities (e.g no pool) but no complaints for the price paid with free breakfast and a $50 dining voucher at Ginett that came bundled with our stay. Service is good too; Daryl is very customer oriented. Will return again if there's an opportunity.",40,Sep-21,Undisclosed,33,19
Clean rooms good service,Wanted a good place to rest and decided to checkout hotel G. Location is xentral and there is a good selection of places to eat at  The staff here are extremely professional and rooms are well kept. Checkin was good and Daryl went the extra mile for his service.,50,Sep-21,Travelled solo,1,0
Cozy and comfortable,"Based on the reviews me and my husband read, it was a very cozy, comfortable and a decent room for us to use for daycation. Everything is provided, such as wifi, tv, aircon, towels and toiletries. Will definitely come back for a daycation when we need it!",50,Sep-21,Undisclosed,7,0
Comfortable and compact hotel with big personality!!,Very nice comfortable room. Trims and decor is very tastefully done. Superb location at a good budget and pleasant service. Boutique hotel feel with quaint decor and what the room’s slight lacking in size it makes up big time in personality. Highly recommend!!,50,Sep-21,Travelled solo,1,0
Cozy space to disconnect,"Booked this stay to kickstart my birthday week. I wanted to stay somewhere cozy so that i can stay in and just disconnect from the world.   Daryl, the Duty Manager welcomed me upon check-in and i instantly felt like i was home. The check-in process wasn’t awkward at all. I believe we’re friends now cz he gifted me a bottle of sparkling wine for my bday hehe   Room was small and cozy so i stayed in all day. Room amenities were simple and basic. No complaints there.",50,Sep-21,Travelled as a couple,197,81
Delightful 😊 ,"I've read many reviews on Hotel G Singapore & based on reviews & photos, I decided to check myself in for a Staycation !  And I was very delighted to say, the check in service staff was very cheerful and happy in doing her work despite the crowds coming in. That alone made a wow factor for me for the start of my Hotel G Staycation  Thank You Yvonne for your check in service!  Room was booked under the Good Room Queen and I was upgraded to a King Size bed which made my stay more comfortable   I was very impressed with the details in the room even though it was only a mere 13-15sqm in size. The design never made me felt it was small. All the items u need for a perfect stay was inside. From Comfortable bed, TV with international channels to tea and coffee and before I forget, the…",50,Sep-21,Travelled solo,2,0
3D2N Solo Staycay,"Had a good 3d2n solo staycay. Was greeted by Daryl upon my arrival and he was helpful as it was my first time staying there. He explained on the gym usage, food and the express check out. I feel welcomed.  Things that could be improved: to have bidet in the room toilet and maybe more choices of pillows. I feel the pillow is quite flatten but it could be better. The plus point is if the toilet has bidet. Other than that, all is good.   Place is good for solo staycay to have a proper me-time. Thanks Hotel G for accomodating my early check in and late check out! Definitely will stay again in future........once the bidet is fixed. Haha",50,Aug-21,Travelled solo,107,71
Wonderful Anniversary & Getaway,"With the ongoing pandemic and unable to fly off for our 2nd Anniversary, I decided to pick Hotel G simply cause of the rates and the buzzling Ginnit which was well known locally to be full on a daily basis.   I arrived 2 days before my check in to leave a picnic basket for the plans I made for my wife on the 1/9. I was met by 3 lovely hosts at the desk; Iffah, Mell and Jose :) Despite busy at the desk, they were all friendly, accepted my items and also noted in the system my anniversary celebration. This was already a great start and was looking forward to bringing my wife.  Fast forward, we received a text from the FOM, Howard Oh that our room was available at 11am. Wow!  On arrival, this time was met by Iffah, Mell and Jose who then signalled Howard that I arrived. Never…",50,Aug-21,Travelled as a couple,1,0
"Great Service, Friendly and Professional Staff","Hema and Bella were perfect in their service standards and very friendly! They offered us a complimentary upgrade and late check out, as a complete surprise and explained everything clearly. Would definitely come back again for a quick getaway (: thank you!",50,Sep-21,Travelled as a couple,10,0
Rude,"Very very poor service from the hotel. Absolutely distasteful experience with the customer service team.  How is it that a member of the service team and security can come knocking on the door in the middle of the night and wants to come in to check number of guest is beyond reason. Very untactful, very rude, very poor. There are skillsfuture courses to train your staff in customer service.  ",10,Sep-21,Travelled with friends,1,2
GUEST SECURITY WAS COMPROMISED,"Stayed for a night with my family for a quick getaway. check-in was fast and the hotel was chic and unique. it is a very small hotel but beautifully designed and planned. however, the rooms were VERY SMALL. No fridge inside the room as well. No Bathtubs in any room in the hotel. however, there is something that happened that greatly concerns me and that is the room security.  When we checked in at around 3 pm and decided to leave the hotel at about 5 pm on the day. unfortunately, we did not return for the night as something urgent came up. we returned the next day at 10 am, after breakfast. however, to our amazement, we realised that something was missing in the room. it was a ""PARTY GIFT BOX"" that was placed in the room by the hotel ( a box of props, hats and masks to take…",10,Aug-21,Undisclosed,3,0
Staycation Mood: ON,"I could not stop myself from writing down an appreciation note to the esteem hotel, Hotel G Singapore and the staff. We stayed at Greater Room King from 28 Aug 2021 to 29 Aug 2021 to celebrate our son's birthday. I was checked in by Daryl, Mellisha and Iffah. I must say that all the requests were kept in mind and fulfilled to the best possible levels. At the time of the booking, I had mentioned the reason for our staycation and to our surprise, the room was beautifully decorated with balloons. Daryl, Mellisha and Iffah were very helpful and every request made, it was taken care. The difference between a good customer service and a great customer service is something intangible. It is their ""WOW"" factor of professionalism and extraordinary service. We really enjoyed our…",50,Aug-21,Undisclosed,1,0
very good staycay at hotel g!,"Had a good stay at hotel g! Daryl, Mel, Iffah, Yvonne and Howard gave extraordinary service. The hotel was really nice and spacious. Really enjoyed the great outdoors experience with the projector and the popcorn machine was great too.",50,Aug-21,Travelled with friends,1,0
Staycay,"Really enjoyed my staycation here, especially the outdoor room with projector! Had a memorable stay at Hotel G with my friend! Special thanks to Iffah, Yvonne, Mell, Howard, and Daryl for the superb service!! Will recommend this to my friends :)   Also some appreciation for the housekeeping team, anggun and azhar :)",50,Aug-21,Travelled with friends,8,0
Amazing staycay!,"Had a superb staycay experience at Hotel G Singapore. The FOM Howard was very friendly and i was checked in by Daryl, Iffah and Mellisha. Their professionalism was indeed commendable! Also, kudos to Azhar and Anggun for their speedy delivery of extra amenities.",50,Aug-21,Travelled with friends,1,0
Excellent staycation experience,"checked in to great outdoors and it was such a smooth and hassle free experience! Special shoutout to Mel, Iffah and Daryl for making the experience so memorable! Will be back for sure! had a really enjoyable stay :)",50,Aug-21,Travelled with friends,1,0
Exceeds expecatations,Friendly and awesome staff were helpful and patient. Mellisha was very friendly and professional and helped me with a smooth check in. Daryl offered me a free room upgrade and I was able to enjoy my stay in Hotel G . Lastly Iffah was full of smile while assisting me when I had any doubt and queries.,50,Aug-21,Undisclosed,10,12
Exceeds expectations!,"I was searching for a hotel that will cater to my needs (accessible location, friendly and non-intimidating staff, chic and ‘one of the kind’ interior) and Hotel G made the cut. The tone of my stay was off to a notable start during my brief, yet endearing encounter with front office staff Nana and Assistant Front Office Manager Yvonne, whom welcomed me with stupendously positive, blithe energy.   Upon setting foot into the room, a whiff of cold air swept past my “heated” body (it’s almost 31degrees that day so it’s very much appreciated) and my ears were simultaneously greeted with the hotel’s curated playlist playing in the midst. The room was tastefully decorated and was booming with character. The hotel’s branding was strong in it’s game - unorthodox decor, rustic…",50,Jul-21,Travelled with friends,1,0
Enjoyable Stay,"The stay there was awesome and the staffs were very friendly and helpful.I was check in by Daryl and Nana they were very friendly and energetic when checking me in and they explained the breakfast timing and check out timing to me very precisely without me asking.I would also like to thank Hema,Yvonne,Mell,Bobby and Ana for their effort in answering my enquires and also sending of my request.Additionally, I would also like to thank room attendant lam for helping me and giving me the items I need.Thank you for the awesome stay i really enjoy it and will be coming back soon:)",50,Aug-21,Travelled as a couple,1,0
Hotel G Singapore,The staycation was awesome with awesome hotel staff with positive experience overall for my stay. The great warm welcome and the super lovely attitude with fantastic hospitality from the hotel manager who named Daryl. Willingly went to the extra mile to help me and my wife to have a pleasant stay in Hotel G singapore.  Will definitely come back for more staycation.  Looking forward for my next stay in Hotel G Singapore,50,Aug-21,Travelled as a couple,1,0
Good for couples!,"Good location, walking distance from rochor and bugis mrt. Nearby also have a lot of food choices. Hotel Staffs are friendly, who never failed to provide services with a smile. Would like to mention Mell, who recognise us while checking in, extend our check out time without us requesting (as we come here few times already) Room is clean with all the necessities! Keep up the good work and will definitely come back next time!",40,Aug-21,Travelled as a couple,4,5
Cosy and environmental friendly hotel,"I was being friendly welcomed by Bella when I checked in, she explained patiently to me and even offer her help if I required any enquires. The place is convenient, walking distance to Bugis or Orchard. The room was cosy, had a great quiet time spent in Hotel G. Would recommend my friends to this hotel.",50,Aug-21,Travelled solo,1,0
staycay!,"Checking in was a breeze. Front desk staff Daryl and Bobby were super approachable and friendly! Special thanks to Natalie and Hema who assisted with some questions i had regarding the amenities in the hotel.  Not to forget housekeeping staff, Azhar and SoonFa who delivered our request within just a few minutes!  Super efficient and amazing team @HotelG!  im already looking forward to my next stay :) <3",50,Aug-21,Travelled with friends,1,0
Staycay In G Hotel,"We checked- in into G hotel on 20th August 2021, the front desk lady name Iffah (the intern) was very friendly and accommodating. She welcome us with a friendly smile and the check in process were smooth. Great positive attitude from her. Thumbs up!",50,Aug-21,Travelled as a couple,1,0
cool hotel with superb staffs !,Had a enjoyable staycay early this week. We were checked in by Nana who kept the check in process short and sweet :) Front desk staff Ana and Bella were also very hospitable and helpful in attending to our doubts ! The rooms were comfortable and convenient with multiple plugs. Not to mention the vintage theme !!!  Special thanks to Anggun and Ain from Housekeeping department who assisted us with our clean room too !,50,Aug-21,Travelled with friends,1,0
Authentic and worthwhile,"Upon checking in, I was handled by their tactful staff, Iffah. The whole checking process was really smooth. Totally impressed by the boho themed interior. Really needed a short getaway and the stay was what I needed so i extended my stay for another day. HAHA. Really appreciate the great service!",50,Aug-21,Undisclosed,159,181
"Friendly, nice and cool place to stay.",Friendly staff helpful and explained very clearly. Food in the hotel is good and nice. Serving are just nice and taste good. Will be back for more food. Location also good and near to MRT. Easy access. Lots of food and places to go around there.,40,Aug-21,Travelled solo,3,3
Never fails to impress,"As we brace through this pandemic, we are findings ways to get that slight taste of a short vacation and we definitely got it at Hotel G.   From the point we checked in, we were greeted with a smile along with ensuring all our needs were met. At every touch point, there was this sense of welcomenes which just really gives of that vacation vibes.   Our room was really the cherry on top of our staycation. With it beautifully decorated by Mellisha with the props, balloons and petals, it was really an Instagram heaven. The duty manager Daryl even left a nice handwritten note and ensure we got everything we needed!   It is really all these personal touches that makes hotel G stand out among the rest, which really makes us excited for our next stay with Hotel G. Good job!!!",50,Aug-21,Travelled as a couple,2,0
Outstanding,"My family and I chose to stay at Hotel G due to the raving reviews, and it certainly did not disappoint! The interior was tastefully designed, right down the details of the amenities! My family and i were spoiled by the attentiveness and service from the team! We would like to thank Daryl, Iffah, Mel and Natalie for everything! Keep up the good work and we will be back!",50,Jul-21,Travelled with family,38,13
Good for a short stay,"Check in took an hour, due to the fact that the hotel has a very good promotion and it was during the period where very little hotels are open for staycation.  Booked Good Room that comes with $50 dining credit at Ginett and breakfast.  Room is ok, matches with what I paid for. The room does feel a little small, but it should be good enough for 2 normal sized adults.  In room channels are decent.  Breakfast area is crowded, hotel gave the option to take away back to the room.  Overall, good for a 1 night stay.",40,Oct-20,Undisclosed,74,33
Hotel G end of july staycation,"Checking in was smooth, room door was already open so i assume the room just did the housekeeping and no one was inside. Room wise pretty small for a queen bed sharing. Amenities were basic, one of the small hand towel and a cup used for coffee drinking had a stain and cup inside was dirty. Bottom line, i had a good night sleep!",30,Jul-21,Travelled solo,1,0
A great experience during the Staycation,"We needed an early check-in, the staff were helpful and assisted us on it. I want to extend my thanks to Mr.Daryl for his excellent customer service who helped us with all our needs and made our staycation a great experience.",50,Jul-21,Travelled with friends,2,0
Birthday Staycay,"despite the heightened phase, we still managed to have a pleasant staycay at Hotel G thanks to the manager on duty, Darryl Goh. He upgraded our room from a queen to king-sized bed room and offered us complimentary glass of wine. He also kindly suggest that we could order room service from G Stop at an affordable price since dine-in was not allowed. These small actions made us felt warmly welcomed.",40,Jul-21,Undisclosed,26,5
Room assignment and cleanliness disappointment and disgusting!,"I don't really want to write this review but I am disappointed the room assignment. My first stayed room was assigned 1212, room cleanliness was tip top clean. Second room assigned on my second stay room was 1116, built in socket was loose and even engineering fixed it while I away from work. I came back and tried to charge doesn't work still loose. I extend my stay and requested high floor but receptionist mentioned not available since I waited for room for a few hours, why can't I get a high floor room. Third room 805, silicone mouldy, shower sliding door rubber mouldy and even ceiling built up with black fungus. Shower curtain was extremely smelly! Totally disgusting and disappointing!  What ever I requested none of it is fullfilled. Please look into the above matter.",10,Jul-21,Travelled solo,1,0
excellent,"excellent, comfortable, feel good! This hotel offers amazing service and the hotel room is big enough and comfortable! I would recommend my friends to stay in hotel g if they would like to come to Singapore!",50,Jul-21,Undisclosed,2,0
A tranquil family staycay at Hotel G,"A very sweet and pleasant birthday staycay emerged to be a wonderful success, thanks to the exuberant team at Hotel G. The team went to great lengths to make the stay as comfy as possible for my family and I am sincerely greatful for that. Thanks to Howard, Bobby and Mel; the check-in was effortless and a breeze :) An overall shout-out to Natalie, Iffah, Ana and Daryl for assisting with the confirmation of the booking and all other requests throughout our stay.   Thanks for being a wonderful team and my family's looking forward to being back again xx",50,Jul-21,Travelled with family,4,3
Amazing service and great hotel room!,"Awesome service, especially they immediately upgrade us to bigger room and late checkup as my boyfriend can only come in the evening. They work and move very fast whenever you request things to be sent to your room. I love the pillow as it's not very high and good for people with bad neck.   It's not a grand room, but more on the vintage look. Completed with a very beautiful and big dream catcher :)",50,Jul-21,Undisclosed,1,0
Amazing stay,Hotel staff were extremely hospitable and friendly. Special thank you to Dayana and Bobby who made our stay very comfortable. They ensured our stay was enjoyable despite the covid situation. Will definitely be back to visit soon! Keep it up Hotel G! :),50,Jul-21,Travelled with friends,2,0
Great hotel room and service,"Awesome service in Hotel G and 25 degree cafe. Hotel room though small, is very clean! Recommended hotel for great comfortable service, great location and clean room.   Daryl helped us with the rooms and is very friendly, Dinesh went above and beyond with his service at 25 degree cafe. Great place!",50,Jul-21,Travelled as a couple,9,3
"Thoughtful staff, cool perks","Came for a staycay with my son and was totally blown away by the hospitality and service. Kudos to the staff (Daryl, Nana, just to name a few) who pampered us and always greeted us with ready smiles. Loved the props and balloons that our room came with! Loved the package we took, which got us $50 dining credits at Ginett, yummy scrambled eggs brekkie at 25 degrees and a bottle of sparkling wine. Had a glitchy TV and they arranged to change rooms for us after attempting to fix it. Appreciated the thoughtful little things. Will definitely recommend Hotel G to others!",50,Jul-21,Travelled with family,6,0
Overall a great stay,"Booked the room during a 7/7 promo so it was a good deal. The room was of decent size (good room king) Other than the toilet area constantly getting wet from the bath, it was overall a pleasant stay.  The deal came with breakfast. We ordered 25 degrees’s burgers numbers one and three and they were delicious Staff in the whole hotel were very friendly.",50,Jun-21,Travelled as a couple,3,0
Great Place and experience,"Definitely one of the good hotels here that is affordable and the place is conveniently surround by Dhoby Ghaut, Bugis and Little India! Use the SRV vouchers to book 2 days and def worth the amount! And a special thank you to receptionist “Hema” who was super amazing on getting me check-in super fast and manage to solve my issue of 2 different days booking! So thank you!",50,Jul-21,Travelled solo,18,16
"Amazing staff that makes you feel at home Dayana,Bobby, Mr. Howard","During the booking process at Hotel G I am so glad that I’m assist with a friendly reservation staff name Dayana she answered all my queries and giving some advice on what category I needed to book very helpful., During arrival Bobby  who checked me in and giving a good room with some simple surprise decor in the room coz it’s my birthday stay and I met also Mr. Howard who also very welcoming personality and a friendly he suggest where to go to eat at dinner and lunch. We have a good meal also at 25 degrees restaurant which the food was amazing this 3 staff is a  at Hotel G keep it up and see you soonest keep safe and take care.",50,Jun-21,Travelled with friends,2,0
"Nice area, great staff and delicious food!","Great room and great staff! Love the food in their restaurant 25 Degrees Burger! The staff was extremely friendly, the atmosphere is so special that it really felt like home to me.  Thank you to the team especially Howard, Bobby & Dayana for the excellent hospitality!",40,Jun-21,Travelled with friends,83,41
Hidden Gem,"Thoroughly enjoyed our stay at Hotel G. Rooms were clean and spacious with everything we need.  Beds were very comfortable and bathroom amenities are of good quality.  Food from 25Degrees were affordable and delicious.   Special thanks to Dayana from Reservations who made arrangements to decorate the room when we called prior to our stay to inform that we are celebrating a birthday.  Howard and Bobby from the Reception helped with our check-in and out. Both gentlemen were helpful and very efficient, making the processes fuss-free.  Will definitely be back!",50,Jun-21,Travelled with friends,179,135
Memorable Birthday Staycation,"Had a wonderful one night staycation at Hotel G with friends. Room is cozy with all the amenities you need. Comfortable bed and hotel is surround by a lots of restaurant. The burger and breakfast from restaurant 25 degree was amazing. Most importantly the awesome front office team; special thanks to Howard, Bobby and Dayana who makes our statcation memorable. We will definitely stay again. Highly recommended!",50,Jun-21,Travelled with friends,1,0
Husband’s birthday stay,"Howard was very very considerate & helpful. He wished my husband happy birthday & made sure our stay was pleasant - even to the simple details like check out timing & extra treats. Very very sweet of him.   The room is minimalistic & simple, so it really depends on your liking. But customer service has won us over!!",50,Jul-21,Travelled as a couple,2,0
Awesome short staycation!,"Had an impromptu staycation, the staffs at hotel G was very accommodating, especially Daryl. Would definitely recommend as there’s many places to explore around the area! Had alot of fun and I would love to have a staycation here again.",50,Jul-21,Travelled as a couple,1,0
Excellent,"Cosy comfortable room with good amenities. Love the lemongrass scented shower wash. Aesthetically pleasing room decor. Excellent air conditioning. Not much of a view even though I’m on a high floor room, but the comforts within more than compensated.",40,Jun-21,Travelled as a couple,1,0
Band mama,HS basketball player you can do it you have you you i y i y and then takkan sekarang dekat manee bang for the call bli aku nyhh boss is in a w main mc jeaa lhaaa and puas you can do that for you busy this morning I didn't know that you were you going to be there,50,Jun-21,Travelled solo,4,0
STAYCATION,"Very good stay for small family size. But room only good for 2 pax max,  if family room size available will be a plus for sure. .  Overall thumbs up for Hotel G service staffs and quality..impressive pleasant environment and cleanliness.  Especially thanks to Ziwei who is very down serviced and having nice approachable attitude 👍",50,Jun-21,Travelled with family,2,0
Memorable Birthday Staycation,"Booked Hotel G for a birthday staycation and would say that I have no regrets! The overall experience was very memorable: Helpful recommendations by Dayana during the reservation process, smooth check-in by Yvonne who also gave us a room upgrade, friendly staff at Ginett and we definitely loved the food there!",50,May-21,Travelled as a couple,1,0
Excellent Customer Service!,"Would like to give a huge thanks to the receptionists that was working in the morning at 0735am on the 24th June 2021. I believe the person in charge’s name is Daryl? Accompanied with one intern, Zhiwei? Ziwei? Excellent customer service, my partner & i were happy with their customer service. Its rare to see and experience energetic and happy vibes early in the morning. Apologies if i got his name wrong. I lost his namecard as my partner and i got into an accident on our way back home. On the other hand, would definitely book a stay in Hotel G again!",50,Jun-21,Travelled on business,3,0
indeed a GREAT staycation,"Cozy contemporary interior design style, including their rooms, lobby and restaurants. Love the modern concept ambience.  Convenient central location which easy access to lots of places, walkable distance to MRT and malls.  Thank Mr. Bobby for the professional services, his hospitality provided us a GREAT staycation experience. Wonderful and comfortable stay.  Unfortunately we unable to have a sit at Ginett due to the tighten measurement, however manage to arrange a take away instead. Definitely will be back again to enjoy the dine in atmosphere for 25 Degrees as well.  In addition, it will another plus mark if refrigerator is setup in the room.",50,May-21,Travelled with friends,3,0
Compact and comfy,"Special kudos goes to Daryl at the front desk for his warm hospitality and helpful suggestions (like late night supper spots in the 'hood). We were there to celebrate a very special occasion and appreciate the room upgrade and complimentary glasses of wine. While compact, the room was clean, well-appointed and had what we needed for a good night's rest. Breakfast --which came with our booking -- was extremely decent with good coffee. Will be back!",50,Jun-21,Undisclosed,6,0
Celebrating our wedding anniversary at Hotel G,"The staff at Hotel G were really friendly and went above and beyond to put together something for our special day. Kudos to Daryl and Nana for helping us with the room booking and arrangement. My husband and I were really thankful and enjoyed our stay. The room was small and cosy and the location of the hotel was good. The only thing would be the carpark, the direction seems a bit off and a pity that it doesn’t have a pool and a fridge in the room. But nonetheless, it was an enjoyable and memorable stay! Thanks Daryl and Nana! :-)",40,Jun-21,Travelled as a couple,15,0
Staycation,Small but comfortable. And very accessible to lots of places.  MRT Station is a 5-10 mins walk. This is our second time visiting. Tried other hotels but none as value for money. It will be good if there is a fridge.,50,Jun-21,Travelled with family,2,0
Great service overall,Would like to compliment front desk Bobby for the smooth and informative check in process.    The room was lovely and staff were friendly.   Only downside was the breakfast got delayed. Overall a great stay at Hotel G!,40,Jun-21,Travelled as a couple,1,0
Room,Too small. No other facilities. No seating area in the room. Got to fine in bed. Can do better in terms of facilities.   Location is good. Close to eateries. Service minimal.  More suitable for couple and single who just want bedding facilities.,30,Jun-21,Travelled as a couple,1,0
Comfort,Staff are warm and welcoming. Room is comfy and has been upgraded without extra costs. Facilities are nearby such as 7 eleven and water with tea and coffee are complimentary. They also provide inhouse dining option (non-halal) for those who do not want to leave the room.,50,Jun-21,Travelled on business,1,0
"Dissappointed, no fridge available","location wise is quite convenient, entrance of hotel to reception counter quite confuse . Entrance is restaurant, then have to go up by stair take lift to level 2. Not what i expect from review .  room are small not so comfortable for long business stay 3 weeks.",30,Jun-21,Travelled on business,6,0
