Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Great hotel!,Great place to celebrate special occasion! Staff was all friendly and the service they gave was top-notch! I had so much fun throughout the 3 days stay there. Hotel even gave me a gift for my birthday which was unexpected. I got the 3 Fullerton Bears!l as well! Will definitely come back again!!,50,Mar-22,Undisclosed,1,0,Fullerton
Excellent Customer Service,"Here for awesome night to chillax, was indeed fun with the most attentive guy attending to us~ Thank you Daniel for accomodating to all our service request, prompt turnaround as well as going the extra miles~ will be back again for sure! 😚",50,Mar-22,Travelled with friends,1,0,Fullerton
NEVER FAIL TO IMPRESS,"This is my birthday Trip back to Fullerton Bay Hotel . The main reason why I always try to go back to Fullerton Bay Hotel is because they always treat me like a family and i feel home especially my Super Star Staff aka “Miss Olivia” .  Her sensitivity , care and hospitality has never fail to surprise me at all times and always had me thought about the hotel from time to time . It’s rare to come by with this experience for a hotel as she is genuine !! And with her current role and responsibility which needed more attention from her role however she has still exceeded every single needs and at times surprised me instead with her extra miles. This trip I also met many new faces and they have all made us feel super welcome. I would start with Miss Kelly the room division manager who…",50,Mar-22,Travelled as a couple,29,37,Fullerton
Delightful stay at Fullerton Bay Hotel,"I booked the Fullerton Bay for a surprise birthday treat for my wife. I was pleasantly surprised when we were upgraded to a suite with the bay view! My secretly arranged bouquet of flowers arrived at the room. Together with complementary white wine, cake and balloon. The staff were all very helpful and went out of the way to make our stay a very enjoyable and pleasant one. Special mention to Kelly, who made this birthday celebration for my wife a very memorable one. Also to concierge for being part of the surprise party for the flowers. Restaurant staff were also very friendly and attentive to our every need during breakfast service. We will definitely return again. Thank you so much!",50,Mar-22,Travelled as a couple,1,0,Fullerton
Weekend staycation with the most amazing waterfront bayview!,"Restful weekend staycation at the Fullerton Bay hotel Singapore.  Undisputedly the best city hotel which has the most breathtaking waterfront Marine Bay view. Had both meals in the room to enjoy the beautiful skyline. In room dining service was prompt and food was served hot.  Overall,  an enjoyable stay with impeccable service!",50,Mar-22,Travelled with friends,3,2,Fullerton
Chill dine in,"Made a 5pm reservation. Upon arrival at the reception, was greeted by the friendly staff. Ordered the truffle fries which serves at least for 2 pax. Not bad for it’s price. The Tex Mex was good too! Definitely recommended if plant-based is your only option. The food was served quite fast. Loved the ambience especially the music 👍🏽  Oh and the view makes the whole experience worth it!",40,Mar-22,Travelled as a couple,7,0,Fullerton
Fullerton bay hotel is xxxxx,"Nobody to help with your things/luggage at drop off area . Bell hiding inside the lobby .  Room had a musty smell ( water marks on the ceiling) - although they did a room change  Room is dusty . Tv is dated .  Bath tub stopper damaged so the water can’t be drained after you have your soak.  and house keeping told me this is common in a few rooms.( so they don’t really give a Hoot on maintaining )  Food is over price …   $15 for four pieces of thin slices of satay and five cubes of rice which they masquerade as ketupat .  drinks price reasonably though .   Overall, this is not a $800 hotel … only the view is good.   More like your typical holiday inn. They make a mockery of their location and don’t do Justice to singapore hospitality scene.",10,Mar-22,Travelled as a couple,3,0,Fullerton
Excellent stay in Singapore,"Everything at the FBH was top notch. From check in, to daily breakfast, and the rooftop pool, all of the staff were friendly and helpful, and made a point to remember our preferences over the course of our 5 day stay. The hotel is in a perfect location on the bay within walking distance of good shopping, restaurants, and hawker centers. We had a great experience! ",50,Feb-22,Undisclosed,1,0,Fullerton
Wonderful birthday celebration at Lantern,"I organized a surprise birthday dinner for my husband and Lantern's support was wonderful! I would like to make a special mention to our server, Charisma, who offered the most friendly service to us!!",40,Feb-22,Undisclosed,2,0,Fullerton
Awesome time,Great time with great frens. Daniel's service was excellent! The view and service are amazing. The food is great and drinks are fabulous. Planning to come back in April again for a birthday bash.  Looking forward to it!,50,Jan-22,Travelled with friends,6,0,Fullerton
"Beautiful boutique hotel, comfortable stay.","We stayed here for a few nights and were made welcome by most of the Concierge and Dining team @ Fullerton Bay.  We have been here back in 2018 and were back here again in 2022.  2.5/5  The reservation team needs improvement though, as they were in severe manpower shortage and experience, to prevent guests for having to wait 45minutes just to check in on a late Friday afternoon. The goverment could do more to help the hotels, with the employment of foreign talent (and as a hirer myself, we know alot of us, Singaporeans won't/ can't work long hours), here to out the rest of the crew.  5/5  Maria and ""Rindy"" from the Operator Team were most helpful.  They also made arrangements to fetch us and our lugguage over from The Fullerton Hotel to The Fullerton Bay Hotel.  5/5  Room was…",50,Feb-22,Travelled as a couple,14,0,Fullerton
Wonderful delicious buffet that is worth it's value,"We came here to eat at the buffet being offered by La Brasserie.   Wonderful service, excellent food quality, everything was perfect! Alan our server is amazing! He attended to our every request with no issue! Every staff was welcoming and friendly. The food is delicious and it all came very quickly with very little wait time, and they always made sure our champagne glass was never emptied. Would recommend 100/10 Las Brasserie to anyone looking for an amazing buffet experience!",50,Feb-22,Travelled with friends,1,0,Fullerton
WEDDNG PROPOSAL,"Bay view room was fantastically sized, with a gorgeous view of the marina bay :) Staff was extremely helpful and hospitable. The only downside was noisy neighbors which understandably was out of the hotel's control. ",40,Feb-22,Undisclosed,1,0,Fullerton
Birthday Celebration,"Spent a lovely evening at this place a few days back for a birthday celebration.   Ordered the duck confit, fillet and the chocolate dome, highly recommended!   Food and wine were all awesome, and undeniably good service from Abedllah and Adrian. They went beyond and above to even split the onion soup for sharing, very very thoughtful indeed! Thank you for the great experience, we’ll be sure to visit again :)",50,Feb-22,Travelled as a couple,1,0,Fullerton
The best hotel that exceed beyond expectations,"Everything was perfect. Out of all the hotels I stayed, Fullerton bay hotel had exceeded beyond my expectations. You can expect the best service from the staff, clean room and nice food from the restaurant. ",50,Feb-22,Undisclosed,1,0,Fullerton
Pleasant staycay for couples,"Something was lacking in a warm welcome in the hotel room. Maybe it was missing the sweet surprise element like a small basket of fruits or a little box of chocolates that we saw in other hotels, or the fact that this was an anniversary stay booking but there was no effort from the hotel for a commemoration token. In any case this is still our fave hotel as this is where we first celebrated our nuptials and held our wedding!",40,Feb-22,Undisclosed,2,0,Fullerton
Nil,"The bath-tub stopper, despite many complaints remain un-usable. The shower door has an awful sound as if it’s cracking when u open it and there was really a fear of it coming off its hinges. Really expected more from a 5-star hotel. ",30,Feb-22,Travelled on business,1,0,Fullerton
Exceptional Experience,"Having previously stayed at very highly-rated hotels like The Conrad and One Farrer on trips to Singapore, I wanted something extra special this time around to celebrate my wife’s 40th birthday  Whilst looking into which hotel to book, The Fullerton Bay Hotel (FBH) caught my eye for a variety of reasons. Whilst certainly not inexpensive, the location, views, traveller reviews and rooftop pool ticked a lot of boxes for us as a family  One thing I did do before booking was reach out to the hotel directly to understand if there were any (Covid-related) time restrictions on access to the pool. Whilst many of the top hotels do have limits in place, I was relieved to learn that The FBH didn’t and this was the clincher for me, so I booked it  Prior to our arrival, the hotel did…",50,Feb-22,Travelled with family,57,36,Fullerton
Wedding Anniversary Celebration,"We had an enjoyable time, the food was great, the price was reasonable and the service is excellent. We specifically want to recognise Abdellah who has given us exceptional service, better than what I ever experience in any restaurant or hotels. He was extremely polite and attentive. He even went out of his way to get paper carriers outside the restaurant for our packed food. Thanks for such a wonderful experience will definitely recommend to  my friends",50,Feb-22,Travelled as a couple,2,3,Fullerton
Birthday Celebration!,Place was amazing! Start was friendly and also helpful in helping us make decisions to our taste. Mr. Daniel in particular was very helpful and made our dine i here a great one! Thank you THE lantern would definitely recommend friends and families to come here and we would also like to come here again!,50,Feb-22,Travelled as a couple,1,0,Fullerton
An Enjoyable Staycation!,Hotel located in a great location. Nearby many shopping malls and mode of transportations. Staff was knowledgeable. Enjoyed our breakfast to our hearts content. Will definitely recommend my families and friends,50,Feb-22,Undisclosed,5,6,Fullerton
Wonderful service from Cristina,Dined at La Brasserie for their Sunday brunch and enjoyed lovely warm and personable service from Cristina. It’s clear in her hospitality how much she cares for her guest’s experiences. Would definitely return again just for her.,50,Feb-22,Travelled with family,3,3,Fullerton
Fantastic!,"The scenic view from the room is not only breathtaking but is also one of the highlights of the hotel. It is expensive for a one night stay but the staffs’ service, cleanliness, and top grade utilities are 5 star. I would dare say it is worth to pay a little extra to experience Fullerton Bay hotel at least once in your life:) ",50,Feb-22,Undisclosed,1,0,Fullerton
Thank you,I brought some friends here for the first time and they enjoyed it. The staffs are nice like Germa who is very friendly and helpful and Charisma who serve well. We will definitely come back. Thank you for wonderful night.,50,Feb-22,Travelled with friends,2,2,Fullerton
Visited La Brasserie for belated Valentine’s Day dinner,"Beautiful ambience, superb service by Win. Entrees were good. We ordered the sea bass and duck confit for the mains. Sea bass was fresh although duck confit was a tad on the salty side for my liking. Win was really helpful and apologetic, and changed my main dish. Great experience!",40,Feb-22,Travelled as a couple,3,4,Fullerton
Ample of sightseeing attractions around,"Elegant scenic hotel ground, surrounded by plenty of attractions to enjoy around the area.  Carpark and some facilities like sauna are in separate buildings, a short walk away.  Bay view room are pretty standard, aside from the magnificent view. Bed wasn’t the most comfortable though and tv channels slightly limited.   High note really was the daily breakfast, palatable menu selections, served by au fait and attentive crew.   There are so much attractions and activities to explore around the hotel that our 4 days 3 nights stay passed in a blink, we were kept busy throughout the staycation and there’s still plenty to discover.   Will be scheduling our next visit soon for upcoming celebratory affair.",40,Feb-22,Travelled as a couple,246,124,Fullerton
one of the best rooftop bar,"first time in Lantern Bar. Drinks was amazing. Service was superb by Ms Germa, Mr Daniel and the best bartender Mr Loges. Will definitely come again. one of the best experience i’ve ever had. service was excellent that we forgot about the view.",50,Feb-22,Travelled with friends,2,0,Fullerton
Best Birthday Staycation!,"No regrets booking Fullerton Bay for my birthday. Specifically booked Bay View Room for the amazing view of MBS. Rooms were big and clean, staff is friendly. Price is a but high but would love to come back another day.",50,Feb-22,Undisclosed,2,0,Fullerton
Good hotel,"Stayed here 2 nights when we arrived in Singapore en route to Thailand. Great position by Marina Bay, easy to get out and walk around the area. Room was very good, comfortable and clean. Loved the roof top swimming pool.  Breakfast was good.",50,Jan-22,Undisclosed,610,276,Fullerton
Epic stay for my wedding anniversary,"Germa and Anna were THE BEST and made our Lantern experience so incredibly special. As was the incredible gentleman who helped us with our luggage when we entered the hotel - he addressed my husband and I by name when we got out of our taxi, and said goodbye to us when we were leaving. Thank you Mohammad! Overall, incredible stay: the arrival goodies in our room for our wedding anniversary, the special notes, the top notch service, the wonderful quality of food and staff.... the list goes on. We loved the breakfast each morning at La Brasserie - your staff is so so hardworking! Thank you team Fullerton Bay for the most wonderful anniversary celebration. ",50,Feb-22,Undisclosed,8,0,Fullerton
Nice ambience and friendly staff!,Friendly and customer-centric staff (lotha and maria) who put the requirements of customers above everything. Kudos to them!   Will definitely be back again for staycations as well as for meals. Strongly recommend this hotel to visitors to singapore!,50,Feb-22,Travelled as a couple,1,0,Fullerton
V’day Celebration,Exceptional service from the team (lead by Alan). They helped to arrange for a vegetarian 4 course set and surprised us with a personalised Valentine’s Day card. Worth the price and will definitely come back again!,50,Feb-22,Travelled as a couple,1,0,Fullerton
Worth the hype and price,"Booked a stay at this lovely property for my wife's birthday and we thoroughly enjoyed it. I have been eyeing this hotel for quite some time as I want to experience all the hype around it.      We booked the room  overlooking MBS and what a view it was. Those thinking of staying here should really stay in a room with this view as I feel it really justify the price.      The room was well furnished with things you expect from a 5 star hotel. The only thing I hated was the baby crib they provided, it looked like it wasn't being properly maintained. It was clean but it looked aged. And I had to bend down so low to pick up my baby. My poor back. Invest in a proper cot guys(Stokke).  Breakfast was a highlight with service prompt and staff being very proactive. The food was delicious…",50,Jan-22,Travelled with family,54,53,Fullerton
Lovely visit!,"We had a Valentine’s meal here - food, ambience and service was impeccable!   We were served by Win and his team of friendly staff who were so warm and truly passionate about knowing each and every one of their customers by name.   Totally would come back again!",50,Feb-22,Travelled as a couple,1,0,Fullerton
Best service ever,"We visited Fullerton Bay for our honeymoon and the service was tip top always, from the time we book to the time we enter the building and throughout the entire stay. We got macaroons and a teddy bear as gifts. We love the room service food. Everything was perfect and we are definitely coming back.   Appreciate the duty managers for always looking out for us especially Michelle Muñoz .",50,Feb-22,Travelled as a couple,1,0,Fullerton
Fullerton Bay Hotel CNY 2 nights stay,The room view and design was great. Food at La Brasserie was only average for the price charged.  There should be more than one staff to tend the check in counter as I needed to wait for more than 10 minutes for my turn. The pillow is too thick and high for the neck. ,40,Feb-22,Undisclosed,2,0,Fullerton
Cny lunch with colleagues & friends,Ordered 3 course set lunch. Price is reasonable and food is tasty. Love the prawn which is the starter. Service from Abdellah is really good. He reminded us about our drinks when we did not knoe that it comes with the set lunch.,50,Feb-22,Travelled with friends,1,0,Fullerton
Landing Point Afternoon High Tea,"The Chinese New Year theme afternoon high tea is delicious especially for the savoury dishes. Would like to comment on the staffs espcially Lotha, Olivia abd Daniel Lee are very polite and helpful. They will also check on whether that you have any allergy before serving the food. As savoury dishes are refillable, and due to covid, they will always check whether we need any food to be refill. Overall experience is awesome. Thank for the awesome experience",50,Feb-22,Travelled as a couple,2,0,Fullerton
High tea at landing point,"The spring treasures afternoon tea set was delicious and the views were fantastic. Really enjoyed the orange sambal bay shrimp on mandarin orange mini tartlet. Great service by Lotha, Olivia and Daniel Lee. Will definitely be back.",50,Feb-22,Travelled with friends,2,0,Fullerton
Great service!,"Our second time back at Fullerton Bay Hotel! A great experience with la brasserie staff. Would like to compliment Alan and Lotha for their attentiveness to serve us during our breakfast time. Not forgetting the front desk staff, Cristina, for making us feel welcome! Thank you we will certainly come back again.",50,Feb-22,Travelled as a couple,1,0,Fullerton
Excellent service and fantastic views!!,"The views were amazing with perfect photospots, and very cozy environment to chill at. You all must try their truffle fries! and their cocktails. Daniel was also very accomodating to us!  Will definitely return again :)",50,Feb-22,Travelled with friends,1,0,Fullerton
Comfortable stay,It was a comfortable 3d/2n staycation. Location of the hotel is good with easy access to the neighborhood. Customer service is great. The afternoon tea at the Landing Point is good with a great atmosphere. ,50,Jan-22,Undisclosed,2,0,Fullerton
"Exquisite decors, most comfortable stay, and best service","Excellent service by Alvin (Head Butler), Dolly, Lotha, bellboy, Jean (Reservations Team), and the members of the Fullerton team. Extremely pleasant stay full of politeness and calm vibes. Absolutely pleased with my stay here and will definitely come back. Had a really comfortable time and am superbly satisfied with the services and amenities here. This is a place which feels as if it had been left untouched by Covid-19 and is functioning as per normal. Food, service, and standard, which is a staple in what all hotel guests look for, is of an extremely high level. Thank you for making the stay very lovely. Keep it up ;)",50,Feb-22,Travelled with family,3,0,Fullerton
Thank you Fullerton Bay Hotel for a fantastic stay,"The entire experience at the Fullerton Bay Hotel was fantastic.  From the check-in, to the dining experience (both in-room dining), to the check-out, the hotel has done well with amazing staff that make you welcome. Will highly recommend the hotel",50,Jan-22,Undisclosed,1,0,Fullerton
Best staff made my day special,We had afternoon tea with my friends for birthday celebration. I would like to compliment Daniel on his excellent service. He is so friendly and attentive. I noticed that he has taken care of many guests alone and tried to provide good service. It was so impressive. And the food was so delicious. I will come back with my parents  next time.,50,Jan-22,Travelled with friends,2,0,Fullerton
High tea,"Very good service from  Emma, chloe, benson, olivia who are friendly, helpful and efficient. Nice Ambience with high ceiling and fantastic view. The sofa seats are comfy. The foods and desserts are delicious! 😊",50,Jan-22,Travelled with family,2,0,Fullerton
"Read the recent reviews, standard has dropped","I didn’t actually stay at Fullerton Bay because the hotel screwed up my stay. I had book a stay for my birthday celebration, on a weekday. It was the start of school holiday in SINGAPORE. I checked in at about 3.30pm and was told that room was not ready. The person did not acknowledge my birthday or anything special. But it’s ok as long as I get my room. I was told to wait without any updates on the room availability, no offer of drinks or whatsoever.   At about 4.15,  was not ready and was told that it will only be available at earliest 5pm. I was pretty mad because I had a dinner at 6pm with my family. I asked for the duty manager and they offered me a temp day room at 5pm for me to rest before receiving my actual room key for the night.   I opted against it and chose to…",10,Nov-21,Travelled with friends,6,5,Fullerton
My experience,The food was great (chocolate dome dessert was D BOMB). I had beef cheek and All the components of the dish compliments each other. service was excellent (service staff was very prompt and attentive)  and very nice ambience and love the deco and interior design and the view.,50,Jan-22,Travelled with friends,1,0,Fullerton
Good service,Had my birthday lunch here and the service was impeccable. Food and desserts were good too. Even got a birthday cake and beautiful photo memento! Thank you to Abdellah and Adora(?) for the fantastic service!,50,Jan-22,Travelled with friends,2,0,Fullerton
Perfect Service and Honeymoon Staycation at The Fullerton Bay Hotel Bay View Room,"We were extremely impressed by the warmth, attentiveness, efficiency, patience and gracefulness of every single one of the staff that we had encountered during our honeymoon staycation here. They seem to have excellent teamwork with all levels of staff. We wish to be back.",50,Jan-22,Undisclosed,3,0,Fullerton
Great service for suite stay,"Spent 2 nights for wedding weekend, great service from the dedicated butler. In room dining and the Lantern were pleasant. Underground car park at One Fullerton is a bit of a trek and inconvenience unfortunately. Parts of the room is a little aged and in need of repairs.",50,Jan-22,Undisclosed,2,0,Fullerton
Best brunch waiter,I have just had brunch at La Brasserie at this hotel and Abdellah made our day so special. It was a birthday get together and he made it such a valuable memory by being so lovely and attentive. Highly recommend.,50,Jan-22,Travelled with family,5,2,Fullerton
Pleasant and enjoyable stay,"We stayed two nights at TFBH in Nov 2021.   We arrived earlier than check in time so we had to wait at the lobby for a while, but still the staff helped to arrange such that we could check in slightly earlier, which we appreciated.   The room was relatively spacious. It also had a proper working desk and chair, one seater sofas and access to the balcony — the latter turned out to be super useful as the room was often too cold, so we left the balcony door open once in a while. Bathroom was nice, spacious, and clean. Since we stayed two nights, housekeeping came to tidy up the room on the 2nd day. The housekeeping staff was really friendly and chatty and even asked about our preferences before tidying up.   Our room came with dining credits and breakfast. The former we spent at La…",40,Nov-21,Travelled with family,69,54,Fullerton
Great for couple,We had an enjoyable stay and the team was helpful at all times. Had our wedding reception here and communication was carried out smoothly and effectively. We also received any of the team's well blessings during our stay. ,50,Jan-22,Undisclosed,2,2,Fullerton
Fantastic first time,"First time, and already I know we will want to return at some point in the future  An almost faultless stay, with warm service staff, fantastic rooms and excellent views  Definitely recommend to those who have never been ",50,Jan-22,Undisclosed,4,0,Fullerton
👍🏼,"First time here, and I enjoy the ambience and the afternoon tea selection with nicely made savories and desserts too!  got a pleasant surprise with their tumeric cuppuccino - mildly scented and leaves a sweet aftertaste and fragrance of the tumeric",50,Jan-22,Travelled with friends,2,0,Fullerton
👍🏻👍🏻👍🏻,"Really friendly and great service by Daniel, made us feel really comfortable! Views are also great, and food was good!! Warm scones were delicious, and their turmeric cappuccino was surprisingly good! Will come back again :)",50,Jan-22,Travelled with friends,1,0,Fullerton
excellent,"the GM Giovanni helped us to have a great vacation. Service is top, location obviously, food is good. NY dinner was great - staff is friendly. only 1 small bummer is the breakfast not as buffet style  ... rest fantastic!",50,Jan-22,Undisclosed,1,0,Fullerton
AMAZING SERVICE FROM ALVIN,"GREAT GREAT 7 Star Service from Alvin the butler! Booked a stay for My boss and his family at Fullerton bay for new year eve 2021 to new year 2022 for a birthday celebration. And even when it is peak season, Alvin made sure everything was taken care of from room to meal arrangements and even activities. He also made sure the assistants were updated and made our jobs so much easier. Very very efficient too, he could book dinner reservations upon request to source for restaurants really quickly and at the last minute. Coordinated every little thing with lightning speed. No complaints from the boss which says alot for a vvip. Fullerton Bay Hotel’s standards really rose up with Alvin around!! Great job!!",50,Dec-21,Travelled with family,6,6,Fullerton
Rejuvenating with Fullerton Bay Hotel,"My stay with Fullerton Bay was nothing short of amazing. The room, facilities & view of the city at night were spectacular & even more so in the comfort of the room.   The associates at Fullerton were warm, approachable & carried smiles wherever they went, making me feel very much welcomed. Will very much be back again to celebrate future special occasions !",50,Jan-22,Undisclosed,1,0,Fullerton
Best Hotel in Singapore IMO,Really great hotel with wonderful rooms and a beautiful view of the Marina area. Fullerton Bay Hotel is my top choice for a staycation in Singapore and it is definitely worth a visit! I have visited a few times and have never been disappointed. ,50,Jan-22,Undisclosed,1,0,Fullerton
2 Star Service but Pay 5 Star,"1. When I was checking in, my husband and young child were behind me. And I had to ask the front desk employees if there is anything for kids, before they gave her a balloon and a card for 1 ice cream.  2. I stepped on a piece of used plaster with a spot of dried up blood on the carpet. Called the GM who returned my call in 7 minutes, but OMG, the hotel manager took 2 hours before we changed room. First she wanted to see for herself, then she said will clean the room, to which I said I'm not comfortable, so she said will move us to a room on same floor, after waiting, she called and said its a room on 1st floor, then 30mins later she called and said its a room on same floor and personally escorted us there. 3. While waiting for her, an in-room dining employee opened our door…",10,Jan-22,Undisclosed,41,16,Fullerton
An Amazing Bay View Stay,The view for the bay view room is really amazing.  Although the room is not really big but it is just nice for two.  The bed is comfortable but the pillow is too flat.  Overall the service is good but I do find that it is a bit cold.,50,Oct-21,Undisclosed,4,0,Fullerton
Wedding Staycay,"This is hands down the best hotel in Singapore I've had a staycay at. We stayed at the Jacuzzi room and it was nothing short of magical, waking up to this incredible view of the Marina Bay. Having our own private jacuzzi in our room was absolutely phenomenal.  Service and staff were excellent and every single detail and fitting in the hotel just screamed luxury. ",50,Jan-22,Undisclosed,5,0,Fullerton
High tea,I loved the food and service! The view was amazing as well. Perfect for instagram:))  Especially wanna thank Olivia who have been attentive with a lovely smile . Thank you again!  I will definitely come back again,50,Jan-22,Travelled with friends,2,0,Fullerton
Excellent service and environment,It was my first time at Fullerton Bay landing point’s high tea and the service provided by server Olivia is excellent. Food was good and we managed to have our seat overlooking the iconic MBS. Will definitely come back again.,50,Jan-22,Travelled with friends,2,0,Fullerton
High Tea,Ms Olivia is such a pleasant and helpful staff. Tiptop service from her. Service from the heart. She’s really hard working. Definitely will come back here again thank you so much for the service. Hehe,50,Jan-22,Travelled with friends,1,0,Fullerton
Naaa,Came for afternoon hightea and the service here is great! Glad to have Olivia to assist all my enquirers during my teatime here. Very attentive to our table and is very friendly. Thanks Olivia and nice to meet you!,50,Jan-22,Travelled with family,1,0,Fullerton
Nice enough hotel,"The hotel itself is obviously very nice, so no qualms there. Most of the staff were great as well but had a rather unfortunate run-in with a concierge when we asked about USB ports in the room. First we were told there were USB ports in the tech panel and after correcting them and saying there were only AV and HDMI ports available, we asked if it would be possible to get a plug head for our cables. The concierge was kind of weird about it and said that since the hotel provides international outlets that was the best we ought to be able to hope for and that it was our responsibility to bring out own plug heads. Kind of a weird aggressive response to an innocuous request, especially in the year of our lord 2021 (and especially since the 2 other hotels we went to on our trip had…",30,Dec-21,Undisclosed,5,0,Fullerton
Excellent service and great afternoon tea!,"We had a pleasant experience having afternoon tea with good view at The Landing Point. The ambience was great and service was fantastic! Thank you Daniel, Olivia and Tyson for the good service! We will definitely visit again. :)",50,Jan-22,Travelled as a couple,1,0,Fullerton
Special celebration only at Fullerton Bay Hotel,"Fullerton Bay Hotel, one of my favourite place for celebrating special occasions. I got lucky and manged to clock a few stays with them last year. My most recent stays were in Nov and Dec 2021.  I am not sure if I have met everyone at Fullerton Bay and they are so friendly and always service with a smile. From the reception, Samantha, Yugen, Samuel, Michelle, Ummar and team. From the pool, Mdm Siew Fong and Mr Toh Heng. From La Brasserie, Cristina, Princess, Chloe, Dolly and team. Last but not least, the first few people I will see when I arrive at Fullerton Bay, from the bell desk, Aditaq, Serene, Ali and team.  A special thanks to both Samuel and Yugen for taking the extra effort to help me with my anniversary celebration. I had a great time and you must meet the Fullerton…",50,Dec-21,Travelled as a couple,750,203,Fullerton
Post New Year Day at Fullertonbay Hotel,"Family staycation at the Fullertonbay Singapore. Excellent level of service and quality of rooms. Disappointing dinner at the Brasserie, whereas the breakfast was pretty good. Very nice to enjoy the pool on the rooftop.",40,Jan-22,Undisclosed,1,0,Fullerton
Hi-Tea at Landing Point.,"Scones were perfect as usual! The menu was amazing and of course the view.  What’s more commendable was the service by Daniel, Olivia, and Tyson! They were gracious and friendly which made the experience much more enjoyable.",50,Jan-22,Travelled as a couple,1,0,Fullerton
Christmas Staycation,"All the staff were warm and attentive to our needs, including the staff at the pool and the housekeeping teams. Thank you to Ms. Rhea for assisting us. We thank The Fullerton Bay Hotel, in general, for the memorable stay. We hope to be back in the future.",50,Dec-21,Undisclosed,6,9,Fullerton
Staycation at the Fullerton Bay Hotel,"The place lived up to its reputation of a great location, views and service. The staff were very polite, friendly, helpful and efficient in responding to requests. However, there were a few areas the place could look into. (1) Not everything needs to be looked into via scanning a QR code. While the laundry service had a paper sheet with rates indicated, the mini-bar didn't provide this easy facility. (2) The menu was v limited at the breakfast (La Brasserie) and the bar (Lantern). (3) There were hardly any healthy food options at the same 2 outlets as well.",40,Dec-21,Undisclosed,12,14,Fullerton
Wonderful  Break!,"A great stay at the Fullerton Bay with clean, spacious, quiet and room with splendid view of the marina bay! Second time staying at Fullerton Bay, we enjoyed our break in this beautiful hotel. However, we hope the quality of the breakfast could be improved when we return! ",50,Dec-21,Undisclosed,3,0,Fullerton
High Tea,"Great experience at the Fullerton Bay Hotel's High Tea! Great services by the staff and friendly too! The food are on point! Not too sweet not salty! Everything is a wholesome for a slow afternoon! Daniel, Tyson and Brnson has made the whole experience amazing too!",50,Dec-21,Travelled as a couple,1,0,Fullerton
Awesome Hotel with most awesome customer service!,Overall the staffs at Fullerton Bay Hotel are very friendly and nice.  We were especially impressed by Samuel Lee and Alan Ang on their professionalism and patience in handling situations.  They walked the talk of customer experience first.  We were amazed by the quality of services provided.,50,Dec-21,Undisclosed,1,0,Fullerton
Afternoon Hi-Tea,"Food is delicious, ambience is nice and service is good. Staff, Daniel is friendly and helpful. Savoury items and scones are refillable. Drinks too can be ordered many rounds. Nice way to end the year.",40,Dec-21,Travelled with friends,3,0,Fullerton
High tea the right way!,Food - good spread of savoury and sweet treats! Drink - nice list of TWG tea and coffee Ambience - fantastic view of MBS and the bay! Service - Excellent! Attentive staff. Frequent rounds to refill food or drinks.,50,Dec-21,Travelled as a couple,2,2,Fullerton
Wonderful high tea experience,Had a pleasant high tea experience for two at the Landing Point. Sat Infront of the bar at the lower level with great view of Marina Bay Reservoir and MBS. The food was good and service by Daniel was superb. Recommended !,50,Dec-21,Travelled as a couple,1,0,Fullerton
Celebration,The service was great and food was simply delicious! My husband and I went for a second serving. Ambience was fantastic with the unblocked scenery of MBS and reservoir. We will come back again should there be celebrations or discounts of course!,50,Dec-21,Travelled as a couple,4,0,Fullerton
"Enchanting experience, excellent service","Great staycation choice, excellent service from our check-in, in-room and restaurant dining experiences, courteous, accommodating housekeeping staff ensured the rooms were cleaned exceptionally well. We will return. ",40,Dec-21,Undisclosed,10,20,Fullerton
Wonderful couple time,Good locations and place for photo-taking. View are superb. Services and breakfast are good in the check-in and restaurant. Incredible butler services in the hotel and my proposal was perfect for my girlfriend! ,50,Dec-21,Undisclosed,1,0,Fullerton
Staycation,"Enjoyable staycation with the family.  The rooms were hot enough for family of 4. Comfortable, breakfast was good and staff were attentive. The pool was also enjoyable. Evening canapés and cocktails by the bay were also very enjoyable! ",50,Dec-21,Undisclosed,2,0,Fullerton
High Tea,"Great service rendered by Daniel. Very pleasant guy and proactive. Busy and yet w great smile.  Kudos! Kanbate!  Good view, nice ambience, unlimited coffee/tea and savoury.   What a relax afternoon to unwind.",50,Dec-21,Travelled with friends,9,0,Fullerton
High tea at the landing point,We were served well by Daniel at The Landing Point. He was observant and very attentive to our needs and made us feel comfortable. 10/10 will come back here and recommend this place to our friends! :)),50,Dec-21,Travelled as a couple,4,0,Fullerton
Fantastic Honeymoon,The service and everything was fantastic. the staff at Fullerton Bay Hotel Singapore were warm and helpful. The view from the bay view room was fantastic. overall it was a good stay and definitely will visit again in future!,50,Dec-21,Undisclosed,1,0,Fullerton
The definition of luxury,"Stayed in marina bay view room and the room gives excellent marina bay view that no other hotels can provide. Excellent food. Super clean rooms. If swimming pool use is your thing, this hotel is for you, with unlimited pool use. ",50,Dec-21,Undisclosed,11,0,Fullerton
