Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Wedding Anniversary Celebration,"Great location, comfy bed, luxurious bathrobes and a rooftop bar right in the heart of Marina Bay. Breakfast was delicious, with a view that overlooks the river waters. Will come back again for a special celebration.",40,Nov-21,Undisclosed,12,13,Fullerton
Night out with a view,"Amazing service, best views- great night out   The service was the best I have had in singapore  We went for the set, which gave us the best seating, abs super good value fir money  Can’t recommend it enough",50,Nov-21,Travelled with friends,14,84,Fullerton
A good and positive experience,Staff were friendly and accommodating. Hotel breakfast and room cleanliness were great. We enjoyed the welcome which the hotel had in place for us in light of the special occasion. Look forward to a return stay in future. ,50,Nov-21,Undisclosed,1,0,Fullerton
Average stay in Singapore,"We stayed in 4 hotels across 1 week and this was by far the ""worst"" hotel experience. We were surprised as we were very much looking forward to our stay, but the entire experience from start to finish was so impersonal and lacking in service. No answer when we called down to the lobby for help, no turn down service, no help with baggage - definitely not what we'd consider a 5 star standard. If you're after a great view of the Marina bay, you could stay here but frankly, there are other phenomenal hotels in Singapore to stay at.",20,Nov-21,Undisclosed,34,8,Fullerton
Great Staycation,"Stayed for pre and post wedding. Very clean, hospitable staff, scenery was A1 for sunrise. Nice bed, fell into a deep sleep. Staff were nice and helpful, for check in, preparations made for the wedding, great transparency, which helped in creating a seamless wedding venue production.",50,Nov-21,Undisclosed,2,0,Fullerton
Amazing stay at Fullerton Bay,"I cannot say enough wonderful things about this property. Staying at Fullerton Bay Hotel is always a magical experience - the Theme Suite is one of the most beautiful rooms in Singapore, and the service throughout the entire hotel is absolutely impeccable!",50,Oct-21,Undisclosed,1,0,Fullerton
Lovely and Paceful Evening,"Had a slow, wonderful wedding anniversary dinner, served by Daniel, Princess, and the team. Kudos for striking the balance of detailed attention and space for our intimate dinner. Not the mention the food ;)  Cheers",50,Nov-21,Travelled as a couple,4,0,Fullerton
Wonderful service & food! [compliments to Daniel! He did great],The food was very good but our enjoyable time is credited the wonderful service we received! The staff were responsive and observant. They took the initiative to offer their services before we even had time to realise we needed them! 100% will come back again!  [Thank you so much to Daniel & team!],50,Nov-21,Travelled with family,1,0,Fullerton
Great place for celebration. We had a pic taken by staff. They actually printed out and put it in a card.  We were taken by surp,"We had hi tea at The Landing Point ( Coutyard) . We had such wonderful time. The ambience was great, staff Daniel and Maria did a wonderful job by giving us a warm welcome and making us comfortable. They constantly check on us  The food was delicious. Best thing is the savory and drinks is refillable. ",50,Nov-21,Travelled as a couple,1,0,Fullerton
Amazing Staycation,"This staycation was to celebrate a special day for us and the Fullerton Bay team has been fantastic in providing a memorable stay for us. Starting from the check-in process, it was smooth and seamless. We were offered an early check-in at 10AM. The special complimentary arrangement that was requested was executed to perfection, with a pair of Fullerton bears and a helium ballon, plus a postcard and a box of macarons. This kind of attention to detail and going above and beyond for the hotel guests is what separate between a great hotel and a good one. The Bay View Room at level 6 gave us a superb view of the Marina Bay and the Fullerton Heritage zone from the balcony. Room was relatively spacious and sparkling clean. Breakfast at La Brasserie provided a huge variety of choices…",50,Nov-21,Undisclosed,48,64,Fullerton
Well spent staycation,"Aweslme experience starts from the reception where check in staff was friendly and approachable. Room was clean and bed was comfy. Staff at breakfast place and landing point were very attentive, especially lotha. Breakfast quality was good.",50,Nov-21,Travelled with friends,41,64,Fullerton
Excellent service and attention,Had a birthday dinner there and was attended by Alan and Win. They provided impeccable service and attention. The icing on the cake was that they facilitated some friends providing a surprise. Really appreciate their efforts!,40,Nov-21,Travelled as a couple,6,2,Fullerton
Staycation,"My first time staying at Fullerton Bay hotel. Good experience. Room view facing MBS is fantastic especially during the night (picture I post 👇). Food is good. Friendly & Courtesy staff. Especially Kenneth, the staff I met at the concierge during my three days stay. He’s cheerful, friendly and helpful. Will be back again for staycation.",50,Nov-21,Travelled with family,3,0,Fullerton
Solemnisation at Compass and one night stay.,The staff during solemnisation are very helpful and very experienced they know what to do throughout the event. The food and service during dinner was excellent and the hotel room had an amazing view. Overall definitely 5 out of 5.,50,Nov-21,Travelled as a couple,1,0,Fullerton
Fabulous food and attentive service,"My hubby and I celebrated our anniversary at The Landing Point and were very impressed with the attentive service during our leisurely afternoon tea. Daniel and his colleagues Tyson and Olivia made sure that we were comfortable and went the extra mile to ensure I had sufficient F&B options as a pregnant person with dietary restrictions. The food was delicious and well presented. We will definitely be back with family and friends for more dining treats, especially when dining restrictions ease up.",50,Nov-21,Travelled as a couple,5,4,Fullerton
Staycation at Fullerton Bay hotel,"Celebrated my birthday at fullerton Bay Hotel over the weekend with my fiance and the experience was awesome!  Matthew was really friendly and assist in our requests promptly and professionally. He even went the extra steps to help us order food that wasn't on the in house dinning menu and sent it to us immediately. All in all a great experience with the food, amenities and most importantly the interaction with the hotel staffs. Definitely would be back for another stayca at the fullerton Bay Hotel 😊",50,Nov-21,Travelled as a couple,1,0,Fullerton
Good place for an afternoon hangout,"Food and service was great! Daniel was an attentive customer experience manager who provided timely service and great suggestions. Good view and ambience. Free flow coffee , tea and savoury pastries.   Would visit again with other group of friends",50,Nov-21,Travelled with friends,6,5,Fullerton
Birthday afternoon tea.,"Here for my Birthday afternoon tea, great thanks to the service crews here (Daniel,Emma and Olivia) to provide such an excellent service. Birthday surprise chocolate cake and a souvenir birthday photo to bring home. The food is great too will definitely come again!",50,Nov-21,Travelled as a couple,2,0,Fullerton
Weekend Afternoon High Tea,"Excellent service provided by Daniel, prompt refill of savouries as soon as we were close to finishing. Emma was very attentive to our needs and shifted us to long sofas upon seeing us trying to get comfortable with our given seats",50,Nov-21,Travelled as a couple,1,0,Fullerton
Excellent stay as always,"Have stayed in Fullerton Bay many times and the team always never fails to deliver. The process from pre- arrival until departure is always well coordinated. A big thank you to Sharon, Rhea, Ummar, Michelle, Samuel, Samantha and many more staff who work tirelessly to ensure our stays are seamless. The rooms are big and offers great views of the Marina Bay.  F&b staff are also tip top with sharp eye for detail, thank you Shye, Win, Lotha, Emma and many more whom I cant list finish.  I look forward to my next stay at the end of this month at FBH!",50,Oct-21,Travelled with friends,45,32,Fullerton
Dinner @ La Brasserie,"Came here for dinner on Deepavali and was served by Sunny, Lotha and Dolly. It was a very pleasant experience! The food was good, with equally great service to match. Highly recommend the 4 course meal.",50,Nov-21,Travelled with family,1,0,Fullerton
"Scintillating views, Imperial Berry Mohitos a must!!","Beautiful hotel. Interior sparkles in Art Deco style. There is an amazing al fresco drinks/coffee seating through the main restaurant on the ground floor. The highlight for us was the incredible Lantern Bar on floor 6. The imperial berry Mohito? If there is a better cocktail in all of Singapore, I’m yet to find it. Thank you lovely staff of FBH.  Bill",50,Oct-21,Travelled as a couple,1664,121,Fullerton
"Exceptional service, ambience & food",Service by Kumar and his colleague Daniel was very friendly and attentive. The lobster roll was a little small but scrumptious and duck confit was tender. We were here to celebrate our anniversary and were given a complimentary cake. Highly recommended.,50,Nov-21,Travelled as a couple,1,0,Fullerton
Anniversary dinner,"Had a great evening served by friendly staff Kumar and Daniel 😊 Husband loved the lobster roll, with special mention to the truffle fries 😂 I loved my duck confit, just that I’m too full after the complimentary bread and entree of grilled prawn. Just when we were about to leave, they surprised us with an anniversary cake, which was a heavenly choc cake 😍 Oh, have to mention the hotel and restaurant were superbly decorated, nice ambience for a special night 🥰",50,Nov-21,Travelled as a couple,2,0,Fullerton
Truly memorable,"We were provided a memorable High Tea in a truly beautiful location. The High tea was presented perfectly and regularly topped up. We were pleasantly surprised by the special gift provided to my wife and I in celebration of our 2nd Wedding Anniversary. Thank you to Olivia, Lotha and Maria for being so kind and offering super service 🙏",50,Oct-21,Travelled as a couple,1,0,Fullerton
The Landing Point Afternoon Tea,"Very impressed with the quality of the food and the service. Wrote in email to request for change of items due to dietary requirements and Maria replied promptly and was very accommodating. Service staff Lotha, Olivia & Daniel really made our day and the whole dining experience an enjoyable one. They are extremely attentive to our needs and it’s the best service I’ve received! I’ve already recommended this place to my friends because they are so good and deserve a huge shout out :)",50,Oct-21,Travelled as a couple,11,0,Fullerton
One of the top staycation experience!,"Back to back Fullerton stays for a birthday weekend. Checked out of Fullerton Hotel and checked in right into Fullerton Bay premier bay view room.  Wonderful experience from the moment we arrived at the lobby. There’s not a lot of Singapore hotels I’d visit twice, but this would definitely be one of them.",50,Sep-21,Travelled as a couple,31,15,Fullerton
Really had a great time! Perfect place to have your staycay/ stay in sg,"Not only was the bayview room magnificent , the staff ms vanessa, samantha, mr omar, asienth, amsyar, enmar and oliver made the stay extra wonderful with exceptional service! They ensured that the service given was tip top and the room was beautiful and spacious. Super clean and the amenities was superb! Trust me it is worth every penny! Please makesure you stay at least 3days! If not you’re gonna be like me wishing I’d stay an extra night. Thank you Fullerton bay for making my anniversary worthwhile!",50,Oct-21,Travelled as a couple,4,0,Fullerton
One of the best staycations ever!,"The level of service and attention to detail at Fullerton Bay Hotel makes every stay magical. Every time I leave, I can’t wait to go back. Samantha at the front desk is especially memorable and really went above and beyond to make our stay extra luxurious!",50,Oct-21,Travelled as a couple,1,0,Fullerton
We had an awesome afternoon tea with The Landing Point!,"Great food and awesome service! I brought my mother there for afternoon tea and my mother was very pleased. Special shout-out to Lotha, Anna, Azhar and Olivia - they were attentive to our needs and took a lot of initiative. Keep up the great work!",50,Oct-21,Travelled with family,1,0,Fullerton
Exceptional high tea experience,"Exceptional customer service right from the start till the end by Daniel, Olivia and Tyson. Very attentive to our needs and requests. Price is so affordable and I love the free flow of the delicious scones, savoury food items and the coffee/tea. And not to forget the scenic view! A must place to revisit! ",50,Oct-21,Travelled with friends,3,0,Fullerton
What a lovely evening,"Many thanks to the whole team for the kindness, the beautiful friendly faces along the evening . Many thanks for the cocktails. Loges, you are the king🙏🙏🙏 We really enjoyed our family time. See you soon. Take care",50,Oct-21,Travelled with family,73,52,Fullerton
High Tea at Landing Point,"Visited Landing Point with my girlfriend to celebrate her birthday and her pregnancy.  Lotha, Narnia and Olivia has been so attentive to our needs and wants. We felt welcomed & enjoyed our time here thoroughly.  Definitely looking forward to revisiting!",50,Oct-21,Travelled with friends,4,0,Fullerton
Spectacular View Especially At Night,We came here for a night’s staycation for my hubby’s 36th birthday. We were truly pleased with the room even though we weren’t able to get a room upgrade but it is really alright. There are a Happy Birthday balloon for him and a piece of chocolate cake which tasted oh so heavenly. We loved the view especially and how beautiful it looked near the waters. We were definitely come back to share more memories together with Fullerton Bay. Thank you. Til next time,50,Oct-21,Travelled as a couple,1,0,Fullerton
Hightea at The Landing Point,"High tea set was amazing. Comes with a reasonable selection of Tea and coffee. Food was great as well. However, what i like most was the service from the staffs (Lotha, Maria and Olivia) constantly checking on us and making sure that our beverages are refilled.",50,Oct-21,Travelled with friends,2,0,Fullerton
Short staycation to recharge,"Relaxing staycation with great view. We decided to get corner room with bay view. This hotel is a small hotel and only 4 of these rooms available. We got the room with corner to business district not the same as in the hotel website. Nevertheless, it was beautiful night away to recharge with my husband. Enjoyed sleeping with the viewing woke up to beautiful sunrise.   The pool also lovely and warm. We choose this hotel for location and view and didn’t disappoint.   Dinner and Breakfast at la brasserie was delicious. We had delicious Wagyu entrecôte steak frites and it was done well. Breakfast a la carte buffet was high quality.",40,Oct-21,Travelled solo,128,54,Fullerton
Fabulous view of the Bay,"Stayed 2 nights and enjoyed every aspect of the stay. The room with Bay view made all the difference, especially at night, it’s incomparable, magnificent and stunning. I spent hours sitting at the balcony with the large Bay cooling the evening air. Room amenities top class with thick towels and cosy bathrobes. Restaurants - la Brasserie, Landing and Jade (at Fullerton), food all exquisitely prepared.  Service by dining staff very attentive - at breakfast, I went up to my room half way, when I returned and continued to finish the meal, the staff (didn’t see her name badge) came by and asked if she could bring another hot serving of egg. That is superb service!  The pool is top class, with loungers set over the water with water spouts; great view of MBS, by late evening the water…",50,Oct-21,Travelled solo,50,13,Fullerton
High Tea @ The Landing Point,"My hubby and I visited The Landing Point to celebrate my birthday.  We were wowed by their attentiveness, especially Daniel who was mostly attending to our table. He made sure we had our drinks and our food were replenished so quickly.  To top it off, they prepared a special pandan coconut cake and made me a card on the spot with the photo they took for us.  Truly a memorable experience.  Will definitely be back. Thanks!",50,Oct-21,Travelled as a couple,4,0,Fullerton
Pink Afternoon Tea,"Had the pink afternoon tea with my mum. We both enjoyed the food as well as the amazing service by the friendly staffs here. Great varieties of tea options and coffee. Comfortable space to ourselves, with the company of the scenic view.",50,Oct-21,Travelled with family,1,0,Fullerton
A Flawless High Tea Experience,"Been to a few high tea places in Singapore. This is simply my favourite. The experience starts from a smooth reservation, to warm service and impeccable food & beverages. In Oct 2021, we were treated to “Pink Afternoon Tea”, a initiative where part of the proceeds goes to Breast Cancer Foundation. The afternoon platter surprised me with a wide range of flavours, both savoury & sweet. Staff were very attentive (which can be rare in some F&B establishments). I never have to raised my hand once to get anything I need (which is even more rare, considering how impatient I usually am). The view faces Marina Bay Sands (we are sitting across the bay). Environment has plenty of day-light (which is perfect for instagrams. Overall, I am very pleased and would definitely consider coming…",50,Oct-21,Travelled with family,7,0,Fullerton
Worth Every Penny!,It was a last minute birthday plan for my dearest husband. Since we can’t travel anywhere we decided to stay with Fullerton Bay Hotel and we were amazed by the service standards provided from the moment we entered the hotel. We were warmly greeted  from the start by the concierge team and then Samantha who assisted us with a smooth check in. The room service staff Raj who came to our room and surprise my husband with a super cute balloon and slice of cake. We top up $180++ for the bay view and we thought that it is worth our penny as the view was amazing and the room is huge too! The pool was our favourite one! Matthew a trainee from Room service staff  asking how was our stay so far  and we chitchat a little! He is super polite & super friendly ! Top notch service during our…,50,Oct-21,Travelled as a couple,1,0,Fullerton
Overall. Exceptional staff service,"The staff are great. Especially Daniel & Kumar. They are extremely professional and approachable. Additionally, they are very proactive and reacted to any requests promptly.   The food are great and amazing. The ambience is also very accommodating.",50,Oct-21,Travelled as a couple,2,0,Fullerton
You pay for what you get,"You certainly pay for what you get! Albeit pricey, the stay in fullerton bay was definitely worth the splurge. The staff from the reception, to the in-room service, swimming pool, concierge and restaurant was attentive and their service is amazing. Really love my stay and I can’t wait to be back at Fullerton Bay.",50,Oct-21,Travelled with friends,1,0,Fullerton
Impeccable High Tea,"Came with my bestie for High tea the first time at Landing Point. Firstly, the Pastry Chef and team did an excellent job with the menu.  Savoury, scones and Sweet pastries was so tasty and went well with Coffee and Tea selection. Kudos  to staff Lotha, Olivia, Maria and Azfar for their  great service, patience, attentiveness. Will be back.",50,Oct-21,Travelled with friends,8,0,Fullerton
Amazing Experience,"Had a lovely afternoon tea with my friend here. Olivia was polite and helpful, really took care of our needs throughout the whole experience. The food and the tea are really nice, definitely worth trying!",50,Oct-21,Travelled with friends,1,0,Fullerton
Thank you Fullerton Bay,"My family and I were here to celebrate my son’s birthday. We stayed in the Bayview room, on the 6th floor. Room was huge! Service was excellent, everyone was friendly. The hotel made adjustments according to our situations to make our stay as comfortable and pleasant as possible.  I would also like to thank Oliver for his excellent service. He served breakfast to our room everyday and always came up with ideas to make our breakfast more interesting. We appreciate the thoughts he had put through and he also followed up closely on a request I made. Matthews and another staff served dinner to our and they were so so friendly.  In terms of food for room service, laksa, bak kut teh, beef cheeks, mushroom risotto are highly recommended. We will certainly be back again!",50,Oct-21,Travelled with family,1,0,Fullerton
Great food and atmosphere,"Had dinner at La Brasserie for a birthday celebration. Food, drinks and atmosphere was great, staff was also very friendly and provided prompt and great service. Would definitely come again the next time",50,Oct-21,Travelled with family,1,0,Fullerton
Excellent services,Excellent service. Attentive staff especially Sunny. Remarkably fast and good service. Staff created a happy and cordial atmosphere  Assistant Manager Shahruwin is specially good at making me at home and happy. Will definitely bring friends to this restaurant and will come often as well,50,Oct-21,Travelled as a couple,1,0,Fullerton
Fullerton Bay Hotel - The Landing Point,"Good service. Attentive and friendly. Ambience was nice and food was tasty. Enjoyed the view. Premises were very clean. Would recommend to friends and family to come here and visit. It is a good hotel, one of the best. Will come back again.  Came on wedding anniversary, they gave us a photo and free cake. Awesome service!",50,Oct-21,Travelled as a couple,2,0,Fullerton
Perfect Staycation!,"My daughter and I did a staycation at the Fullerton Bay hotel a few nights ago, and everything about it was perfect! The staff could not have been nicer or more efficient, the room was extremely comfortable and well-stocked, and the facilities are top-notch! Our room was amazing and included a balcony, which I was not expecting. I picked it for the fact that our room included early check-in and late check-out so we could maximise our time there, as well as the fact that the pool slots are for 1.5 hour per day (most other hotels currently only offer one hour per day). The pool is gorgeous, and we loved our time spent there! It would have been great to be able to get snacks or drinks by the pool, as the Lantern Bar only opens at 5:00pm, but I appreciate the fact that with current…",50,Oct-21,Undisclosed,22,25,Fullerton
Great view and service!,"The check-in process down to to check-out process was efficient, quick & seamless. They have provided my husband and I with a free upgrade as we were having our honeymoon and they even decorated the place nicely. Special appreciation and thanks to Asenth, the doorman which was so attentive and warm with his service. Asenth's kindness really made my stay at Fullerton Bay an immaculate one.",50,Oct-21,Travelled as a couple,4,0,Fullerton
La Brasserie,"Had the most fantastic dinner at La Brasserie with really fantastic service from Min, Win and Sunny. We were constantly looked after throughout the night and each staff was very attentive with clearing plates, asking how the food was and making conversations. Appreciate this a lot. The pastas were fantastic and I appreciate that the restaurant and the staff really went the extra mile to make it a memorable dinner service. My favourite dishes were the beef tartare and carbonara. :)",50,Oct-21,Travelled with friends,4,0,Fullerton
Dinner for 2,Good meal with a nice ambience. Steak was good. Portion is just nice for a guy like me (500g). Cod is nice but if you are not a herbs fan maybe the seasoning might not be for you.   Dine with Amex platinum card gives you 50% off main course so its quite worth it.,40,Oct-21,Travelled as a couple,2,0,Fullerton
Express lunch @landing point,"Had an enjoyable lunch with my friend. Tried their express lunch menu but there are also ala carte menu for your selection. Like the nice setting, good view & superb service from lotha. Will return to try ala carte next😁",40,Oct-21,Travelled with friends,13,25,Fullerton
Luxurious and comfortable stay,"Good service from the staff - Michelle at reception was very friendly and helped us with many queries. The room decor is pretty and clean, spacious too! Love to chill at the pool and jacuzzi pool is great!",50,Oct-21,Travelled with friends,5,0,Fullerton
Thank you,I was served by very polite and attentive staffs and I especially remember Olivia for her exceptional good service in volunteering to help us take Pictures for me and my husband’s anniversary .. Thank you for the anniversary Cake too which makes it very memorable for our celebration .,50,Oct-21,Travelled as a couple,1,0,Fullerton
Celebrated a lunch birthday here,"Nice ambience , very relaxing environment, amazing view of Marina Bay. Service staff are very attentive and friendly . Food was very worth it with Amex platinum 50% discount . They gave us a complimentary cake and printed a photo of us in a card for memory . Will definitely come back again..",50,Oct-21,Travelled as a couple,2,0,Fullerton
"Great food , nice ambience, good service!","Great service, great food:) will be back!   Daniel was very nice and attentive :) he recommended some dishes and they were all v good. First time here and will be back for sure !! :)  Celebrated my birthday here and was a good experience!  Thanks!!",50,Oct-21,Travelled as a couple,3,0,Fullerton
Must visit,came for anniversary celebration ! It’s Highly recommended!! Food are definitely fantastic!! be ready to be welcomed by super friendly and fun staff (staff who work with passion!) !! No disappointment at all.,50,Oct-21,Travelled as a couple,1,0,Fullerton
Awesome Pink Afternoon Tea,I booked for an afternoon tea in the Landing Point  as a celebration of my friends birthday. I would like to commend Ms Maria for her warm hospitality from the time we arrived until we departed. She presented a cake and a card to my friend. It was a simple yet sweet gesture that made her day extremely special.  We hope to dine in and meet Ms Maria again in the future.,50,Oct-21,Travelled with friends,1,0,Fullerton
Thank you!,"Thank you fullerton bay for the thoughtful cake, macarons and bears for our anniversary stay over the weekends! The hotel staffs were friendly and welcoming! We have enjoyed the stay and we have pact to come back for a staycation every year!",50,Oct-21,Travelled with family,10,6,Fullerton
A good place to destress  in 2021,"Me and my friend decided to do a random booking to Fullerton Bay Hotel since homesickness strikes us for the nth time.The moment you step in on the hotel lobby,you can feel the welcoming and accommodating smile of all the staff.And when we check in,Ms Michelle Munoz did a good job in establishing rapport to the guest.I am impressed on how she explain to us and she is so accommodating.She guide us on the scheduling of our pool and breakfast timing.She is so knowledgeable on her job and not too mention the friendliness that she showed us.And we reach our room,we are welcomed by a beautiful view from our room.The room  speaks for the hotel itself.We are also surprised because they send us a birthday cake and wine since its our bday month and not to mention a card with messages from…",50,Oct-21,Travelled with friends,1,0,Fullerton
"The Lantern, Fullerton Bay Hotel","Wonderful evening, excellent service and cocktail recommendations  from Loges. Always a pleasure to spend time in the best bar with the most wonderful views in Singapore! Cannot wait for the next opportunity to visit again soon.",50,Oct-21,Travelled as a couple,7,0,Fullerton
Stunning!,"Michelle was a gem! She’s an incredible team player and one of the best asset! Totally a stunner and a keeper!  Kudos to the Lantern team for making this birthday celebration a night to remember.  Definitely we will be back!  Thanks to Zool, Loges, Germa, Roy and Charisma!  We’ll be back soon😘",50,Oct-21,Travelled with friends,1,0,Fullerton
Anniversary Celebration High Tea,"Great ambiance and nice time to chill and relax with afternoon tea. Staffs (Lotha, Maria & Olivia) are polite and friendly. Great service. Though during this pandemic, family is not able to sit together to enjoy tea. We still had a great time. Thank you.",50,Oct-21,Travelled with family,1,0,Fullerton
A little disappointed,"Staying 2 nights to celebrate my husband’s birthday. Come here with a high expectations as the hotel is highly recommended by most reviewers.   But I feel little disappointed as this is the first time the hotel we have stayed didn’t realise our birthday when check in. ( to name a few of the hotels we stayed before… Andaz, Mandarin oriental, and Raffles, all without failing to note our birthday when we checked in; then they sent us warm birthday wishes and even small cake and birthday card signed by staff …)  Anyway, we got a room facing CBD, no upgrade ( btw last time we stayed in Andaz and Raffles got upgraded even staying one night only)  The room is big in size, a bit aged, with a small tv.  The favourite part of this hotel to me is the swimming pool and the poolside…",40,Oct-21,Travelled as a couple,34,0,Fullerton
Birthday & Anniversary celebration,Amazing service & food. We even get a picture card of ourselves. Emma is really sincere & full of warmth. Really enjoy ourselves! Highly recommended. Price is reasonable. Great ambiance. Everything so Excellent!,50,Oct-21,Travelled with family,1,0,Fullerton
Pink Afternoon Tea at Landing Point,"Both my wife and I attended The Landing Point event called Pink Afternoon Tea. The atmosphere at Fullerton bay hotel is amazing. It bring us back out wedding memories. The food at Landing Point is delicious. There is a wide spread of different kind of small snacks that are delicious. High recommend people to come have their afternoon tea at Landing Point. You not only get good food but a marvelous view to enjoy them. Lastly, the service of the staff are top notch and friendly. They will recommend you the best deal and ensure you are well taken care. Both my wife and I had enjoy ourselves this afternoon.  Thank you for such a wonderful experience.",50,Oct-21,Travelled as a couple,2,0,Fullerton
Friday Pink Afternoon Tea,"Snagged the last table for a session of Friday afternoon tea. Special thanks to Maria who assisted with the booking, and for making such a lovey arrangement to surprise my friend with a slice of cake for her birthday :) Staff on duty were attentive yet not intrusive, always making sure our plates were full. We leave with not just a full tummy but a full heart too. Thank you Lotha, Maria, and Emma for a wonderful afternoon!",50,Oct-21,Travelled with friends,3,0,Fullerton
Great dining experience with gorgeous view ,"Awesome food experience at the restaurant. The servers were attentive and helpful,  thumbs up! We had a great dining experience - mushroom truffle soup was fantastic, and the chicken roll main course was great too! Overall, it was a good dining experience in the restaurant ",50,Oct-21,Travelled with friends,80,41,Fullerton
Dining experience,"Staffs are very friendly and helpful.  Ordered the Grilled Cote De Boeuf, side veg is a bit salty but beef is okay. Ambience is there but the lighting is only great at certain seats.   Good for a one time dining experience 🙂",40,Oct-21,Travelled as a couple,1,0,Fullerton
Great afternoon tea and wonderful service!,Loved the savoury selection — especially the Maple Glazed Tea Smoked Duck and Truffle Free Range Egg!! The fact that these were refillable were deffo a plus. Top it all off with great and friendly service staff and you’ll be in for a treat 🥳,50,Oct-21,Travelled with friends,1,0,Fullerton
Best hotel stay I've ever had in Singapore,"Stayed over with my wife for our anniversary and we had the most wonderous time ever, upon hearing that we were celebrating, they gave us a room upgrade to one facing MBS. This hotel is miles above any other hotel we've ever stayed in. Room service food was ok, but the service is insane, they get every single detail correct. The speed of everything was fast and well time. There was an in room chrome cast where you can play your own music. The bathtub was well equipped with bath salts and the rest of the regular amenities. Water pressure was good at the shower. When we were checking out we casually pointed to the fullerton bears to said they were very cute, a week later we received a mail from the hotel with two cute bears in the bag one male and one female to commemorate our…",50,Jun-21,Undisclosed,7,5,Fullerton
Memorable food and experience,"Came with my mother in the evening and we had a wonderful experience. We ordered the lobster roll, lobster l’americaine, and chocolate dome. The chocolate dome was art. Lobsters were fresh and sweet.   Special mention to Alan and Win, who delighted us with lots of laughter throughout the evening. They were also super professional and paid great attention to detail. Our cups were never empty.   Will be back again!",50,Oct-21,Travelled with family,5,2,Fullerton
Impeccable service,"Had a stay over at Fullerton Bay Hotel Suite with my family of 4. Having 2 kids in tow, we were received by our butler Olivia and we had a great experience with all the staff service. From the start to the end, they gave great attention and care to our little ones. Knowing that we have 2 little ones, they prepared a children activity kit for them to play with. While we had in room dining due to the restrictions, they also prepare some sweet treats with my kids name customized to perk their sprits. Not to mention, when I ask for baby amenities, which I expect for most hotel to only provide children friend bath items, the Fullerton staff  came in with sterilizers, a baby cot and baby bath tubs for my little one. It was something above and beyond my expectation and I was really…",50,Oct-21,Travelled with family,1,0,Fullerton
amazing service by loges (the lantern) and kumar (la brasierre),had our mini honeymoon there. they were super friendly and attentive to our needs. had casual conversations with us which felt extremely sincere and it made us feel very comfortable. definite mvps during our stay. thanks again guys!,50,Oct-21,Travelled as a couple,3,0,Fullerton
Fantastic experience at Fullerton Bay Hotel,"Perfect service and hospitality. Flexible late checkout 6:30pm  Great experience with my wife and best friend. Special thanks to Samuel for help settling us in :) And yes, my friend has mobility challenge, hotel is very kind to let us park in front! Thanks again for the great experience at Fullerton Bay Hotel.",50,Oct-21,Travelled with friends,2,0,Fullerton
Perfect for celebrations,"Excellent service and fantastic food. friendly waiter makes the night memorable. kumar constantly checked in on us to enquire about the food and was very attentive throughout. came here to celebrate my birthday and they kindly gave me a slice of cake at the end of the meal, on the house! thank you!!",50,Oct-21,Travelled as a couple,1,0,Fullerton
Pink Afternoon Tea,The savoury tier will be better if there is like a puff pastry kind of canapé  Sweet tier maybe can do something chocolaty like eclair? Overall was a good experience. Staff Kumar was very attentive & friendly.,30,Oct-21,Travelled with family,1,0,Fullerton
Pink Afternoon Tea,"Nice view overlooking the MBS area. Feel that the afternoon tea should have more selection of both savoury and sweet items. Savoury, abit too much bread as base, good to incorporate pastry/biscuits or other form as base layer.",40,Oct-21,Travelled with family,3,0,Fullerton
Wedding Anniversary Celebration,Excellent service. Wonderful and beautiful environment. Good food. Good deal during the restaurant week. Overwhelmed by the friendly staff especially Kumar. Very attentive and positive attitude towards details.,50,Oct-21,Travelled as a couple,1,0,Fullerton
La Brasserie (the Fullerton Bay),"Staff Kumar is very nice in recommending food to cistomer, and his service is grear, the food served also great, environment is great.  Very romantic restaurant.  It's very big recommendation for couples.",50,Oct-21,Travelled as a couple,1,0,Fullerton
Rainy evening!,An amazing rainy night out at the cool Gin Parlour @ Fullerton Bay Hotel.  Beautiful setting with great views of Marina Bay. Hostess Asel was amazing!  Friendly and very helpful.  Will be back again soon!,40,Oct-21,Travelled as a couple,5,0,Fullerton
Well maintained property but poor elite recognition,"Check In – the hotel staff helped me with the door when my Grab pulled up and showed me the way to check in – I could hear him intercom the front desk with my name, which I felt was a nice touch. I arrived to an empty lobby and Vanessa attended to me – the process was completed in less than 15mins including explanation of my booked package. I was also given a handwritten card with my booked slot.  Room – My Deluxe King (45-50SqM), 432, was actually quite nice for a lead-in room. Very clean, very spacious, and very erm brown (plenty of glossy brown surfaces). The whole space was immaculate and cleanliness top-notch. You first walk into a little corridor, with the bathroom immediately to your right and the closet + luggage space on your left.   The bathroom is big enough to…",30,Sep-21,Undisclosed,2094,290,Fullerton
Nice ambience and friendly staffs,The place has nice ambience. You can see MBS view and feel the evening breeze on a good evening. Orders are made via app. It would be better if there are more dessert choices. Think there are only ice creams as selection.   Friendly staffs although it was noted that they are short of staffs as several times they were busy and could not attend to our requests.  Friends and I were there for birthday celebration and thanks to Loges who presented us with a birthday card which was a very nice gesture.,50,Sep-21,Travelled with friends,14,13,Fullerton
