Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Excellent for families with young kids,"The hotel had gone through some renovations in the past few years. And, they have made the place so much more refreshed and modern. Can't believe it is already 50 years old. The place is clean and well-maintained. The new facilities have made it look more modern and more family-friendly. The service is still excellent and personal. The rooms are big and cosy. Very nice!",50,Sep-21,Travelled with family,100,106,ShangriLa
Excellent hospitality & housekeeping,"Stayed here for 3D2N on 30 Aug 2021 and the experience was wonderful. Elvis greeted us so warmly at the driveway. Felt like we have come home. And the warm friendly smile of Hafiz felt like that of an old friend's. (His smile and greeting was still warm at the end of his shift. Amazing!) And the level of housekeeping is way above standard. Gina's attention to detail was much appreciated, and she was very accommodating to our needs when we needed the room. Overall, had a really pleasant stay with the family here! (Love the thoughtful gifts for the kids too, and the stools in the toilet to help them reach higher, nice touch!)",50,Aug-21,Undisclosed,8,7,ShangriLa
The Valley Wing,"The front desk staff who checked us in graciously assigned us to a valley wing deluxe room on the 15th floor with an awesome view of the pool!  I’ve seen reviews of the space but nothing beats seeing it in person and I liked it much better than I thought I would.  The bathroom were stocked with L’occitane toiletries, had a bathtub (bath salts provided) and even double sinks.   An anniversary cake and decor was also prepared for us! All in all, impeccable service. We couldnt have asked for more.",50,Sep-21,Travelled as a couple,31,15,ShangriLa
Excellent service from the staff!!,"I keep coming back every few months simply because my 2 boys love the staff on duty at buds indoor playground and splashzone. The staff are super friendly and welcoming to kids from the reception (Ms Ash) to housekeeping (Ms Vivienne), the pool cafe (Mr Thiru) and special mention to Mr D, Mr E, Mr Z from splash zone and buds. They introduce themselves by letters to my kids and the kids keep wanting to come back here to meet their 'Friends Mr Letters'! Superb service and really children-loving staff! Irfan and Ilhan loves your staff!!",50,Aug-21,Travelled with family,2,2,ShangriLa
Kids Friendly Hotel,"Enjoyed our staycation here with different types of activities for kids. The room was hugeeeee! Hotel was able to accomodate to our advance request for an extra bed. Our kid had fun doing the treasure hunt, water sliding at Splash, jumping around at Buds and relaxing in the huge tub of bubbles in the bath. Will definitely return again in the future.",50,Aug-21,Travelled with family,1,0,ShangriLa
Great Experience!!!,"Really had a wonderful short staycation getaway to simple celebrate my husband birthday. Since we cannot go overseas because of this pandemic, our stay in this hotel feels like were out of the country because of their resort vibe and there's quite a lot of activity mostly for my toddlers who enjoyed it so much. Special mention to Zubaidah that ensure our stay was great and keep on checking on us. Will definitely come back.",50,Aug-21,Undisclosed,3,9,ShangriLa
Unwelcoming hotel and overall a disappointing stay,"Shangri-La Singapore turns out to be such a disappointment and this must be my worst staycation ever.  On a early Saturday morning, I made my way there such much enthusiasm for my staycation having been there before and also at it’s sister property which I thoroughly enjoyed being there 4 times in the last 12 months. However, I was only to be confronted with rude staff that spoilt my entire weekend. Such a dampener.  As I arrived, it was good weather with almost no one in the driveway aside from a couple of vehicles which you can see from the photos, and thought it was a perfect time to take some photos with my iPhone, why not right? I won’t be taking pix of other cars or other patrons. To be specific, I took a few minutes to take some photos from various angles, trying to find…",10,Aug-21,Travelled with friends,43,40,ShangriLa
Afternoon tea at Rose Verandah,"Went last weekend to the Rose Verandah with my family. From the food to the service, everything was impeccable. I would like to especially highlight the service provided by Senior Chef, Mr Ganesan Ashok who personally came out suggesting an alternative due to our dietary restrictions, and not only that, but brought out a couple of extra desserts (some of his personal favs) for us to try out since it was my mother’s birthday. He also passed down his knowledge on styles of preparation of certain ingredients and educated us on the history of the rose verandah. While the food was definitely something to rave about, the highlight of our meal was chatting to him and being well taken care of by him. I’d say it was better than any of the high teas I’ve had in Singapore (compared to…",50,Aug-21,Travelled with family,6,5,ShangriLa
Dining experience at The Line,Ruby was proactive in ensuring we have a pleasant dining experience. She was observant and changes over new plates when required. It was observed Ameen and Ruby were professional and patient in explaining to the guest besides us of their billing clarification.,50,Aug-21,Travelled as a couple,2,3,ShangriLa
"Excellent Property, Luxurious & Outstanding Service","Checked-in for a staycation at the Valley Wing with my wife - to our pleasant surprise we were upgraded to a one-bedroom suite. Very well furnished and appointed, with great views of the city.   Loved the Valley Wing Lounge with great drinks and even better service. Very good experience on the whole, would go back for sure.",50,Aug-21,Undisclosed,3,3,ShangriLa
Love the Valley Wing!,"Stayed at Shangri Valley Wing twice, once last Nov and another in March this year. Service was impeccable on both occasions, and the food was absolutely delicious. Massage was relaxing and the best we had so far.  We look forward to our next visit in Nov!",50,Mar-21,Undisclosed,9,11,ShangriLa
Amazing stay at Valley Wing,"Special shoutout goes to Nora from front desk who goes above and beyond in providing an excellent service to me and family. This was our very first time in Shangri-la but won't be our last. Absolutely love VW, Buds, splashzone and the main pool. I did the relaxing massage at The Chi Spa and it was heavenly.   The kids absolutely enjoyed themselves and kept asking to come back. We have already booked our next staycation in September to celebrate our anniversary. Looking forward to have another amazing stay at Valley Wing, Shangri-la.  :)",50,Aug-21,Undisclosed,3,2,ShangriLa
An unforgettable stay - for all the wrong reasons,"Booked a staycation for one night on 12-13 Aug at Shangri-La Singapore. My wife, 2 young kids (3 and 7 year olds) and I were looking forward to the stay. Unfortunately, it turned out to be an unforgettable experience for all the wrong reasons  - Arrived at the hotel at 235pm to check in, was only assigned a room at 420pm after making multiple enquires at the front desk. (Other families checked in later after us but obtained their rooms earlier than us). Front desk staff were not helpful and my children were both tired from the long wait. It was only 1 hour did the front desk staff even bother to offer some refreshments.   - Requested for extension of check out timing by 1 hour in view of late assignment of room. Received the generic ‘I am sorry but we are fully booked’ reply…",10,Aug-21,Travelled with family,1,3,ShangriLa
1st stay at Valley Wing for birthday celebration,"It’s our first stay in Valley Wing, before they stay which I had questions enquired via email, it was answered with clarity. As it was a birthday celebration, Inside the room we were actually greeted with simple decoration for birthday & also with the yummy chocolate mousse cake (i think). We were rather surprised that instead receiving small bottle of wine & champagne since during check-in guest relation was enquiring our preference, we were actually given a full btl VC yellow label along with our high-tea canapés set. We saved it for the night. The only short-fall occurred in the room: •Cabinet at the fridge which is slight hard to open •Bathtub drainage lever was mal-functioned  Overall, it is a wonderful stay & we look forward to have more wonderful memories with friends &…",50,Aug-21,Travelled with friends,8,3,ShangriLa
Lovely staycay - as always,"I love spending my birthday at Shangri-La. The staff are friendly, courteous & helpful, the service is impeccable. That’s why I choose to have my birthday staycation here each year. This year, I didn’t book my massage at Chi The Spa ahead of my check-in, so I was so happy they could accomodate me on the day itself. Doris took my call - she was so helpful & reassuring. She even arranged to have some wine & treats sent up to my room after my massage. It was such a pleasant surprise! That really made my day. That’s what Shangri-La is about - making you feel special. (I hope the therapist who felt unwell during my session has made a full recovery) It was a pity that my staycation happened at a time when there were no dine-ins at the hotel restaurants. I would have enjoyed dining in…",50,Aug-21,Undisclosed,1,0,ShangriLa
Surprising staff failings,"Stayed for 10 nights, pool view garden wing, on 5th floor and 6th floor.  First issue was problem with loud baby next door and, typical front house shenanigans, they insisted there are no other rooms available despite a half booked hotel. I continued to press, I've been in so many hotels and this is just typical shenanigans, so of course eventually a manager comes out and offers a new room, there are plenty... half hour ordeal. That's a 4 star hotel annoyance, usually not at 5 star hotels.  Second issue was bell staff letting people out the main door, but then singling us out, telling us we had to go through some side exit. I called him out on it for letting other random people out main exit, and later he approached to explain he let the others out because they were not leaving…",30,Aug-21,Undisclosed,34,26,ShangriLa
Excellent Staycation,"We thoroughly enjoyed our time at the Valley Wing. The staff were very attentive and friendly, and continually made efforts to ensure that we were well taken care of. They were good with children and would often engage them - made the children feel very special. The all-day champagne and high tea/canapes were excellent; we liked the options for breakfast too. Raja was our favourite butler as he made every effort to look after us.   We enjoyed our time at Splash; but Buds was so-so as it catered more to younger children (probably seven and below). Overall, the playcation package was value-for-money, especially at the Valley Wing.",50,Aug-21,Travelled with family,78,93,ShangriLa
Great staycation,"Thank you to Rachel and Yana for the speedy check in. We were glad that we got to check in slightly earlier at 2pm. Wenjie and Andreas was extremely welcoming.  We didn’t catch the name of the lovely Korean girl who served us our breakfast, she was wearing the uniform from The Line.",50,Aug-21,Travelled as a couple,3,5,ShangriLa
Family Staycations,Fantastic stay at the hotel. The staffs are tremendously friendly and helpful. It's definitely an awesome good and memorable experiences for all of us! We will definitely return to the hotel again for a BIG splash of FUN.,50,Aug-21,Travelled with family,1,0,ShangriLa
Memorable and eventful,"Despite the dated appearance, amenities are well maintained. The professionalism of the staff and quality of service and food more than make up for it. Thank you for yet another pleasant stay and enjoyable experience.",50,Aug-21,Undisclosed,5,8,ShangriLa
Fantastic and Fancy Stay :),"Stayed in the Valley Wing in April and Garden Wing in June.  Stay in Valley Wing was great, large rooms and well maintained. All day champagne was good too. Kudos to Edward, Raja, Jaegan, Zila Seri, Ono san, Shi Qi and Shire Ling",50,Apr-21,Travelled as a couple,310,1035,ShangriLa
The kids love it here!!,The kids love it here even with the heightened alert restrictions!! A family oriented hotel. Am very much impressed by the cheerful and meticulous service by all the staff from the start to end of our staycation. Special mention to Ms Yana Arshad and Elvis for their extra special personal touch that is befitting of the high standards set by the Shangri-La brand.  Even today our kids are still calling out for Mr Elvis to dance together with them. Thank you again Ms Yana for arranging the complimentary birthday cake for my wife. Thank you all and thank you Shangri La. Will definitely be back soon!!,50,Jul-21,Travelled with family,1,0,ShangriLa
Fun for Adults and Kids Alike!,"We had a wonderful time, my 1YO boy utterly enjoyed his time at the Splash Zone and Buds. Thank you for paying attention to the little things, despite the increased restrictions we face due to P2HA. The room was spacious and clean, the app for guests to get instantaneous response is a great touch. Thanks for a lovely time, we will be back!",50,Jul-21,Undisclosed,1,0,ShangriLa
A wonderful stay at the hotel!,"The staffs were friendly to the guest and to the kids as well.  The greetings by the staffs made the guest felt very welcoming. From the lobby staffs to the lawn mower, helping the kids to complete their treasure hunt and patiently explain to them. Lots of activities to keep the kids occupied.  Thank you for the wonderful stay!",50,Jul-21,Travelled with family,2,2,ShangriLa
Covid Wedding in Shangri-La Hotel Singapore,"Wedding planning is a very challenging and tiring task, but with the assistance of the Events Manager Michelle, it has become an enjoyable process. From the start of the enquiry process to food tasting to multiple meetings and discussion, she is always so enthusiastic and always give the best advise to accommodate the request by the wedding couple. I still can recall during the last discussion with the couple (1st day of the returning of the P2HA), as there were more restrictions in placed and led to changes in program, but the couple wasn't aceeptive of any ideas. The atmosphere was very tensed, however she still portrayed a professional image and remained calm.  Thank you Michelle for her endless assistance from the start till the end of the wedding. I would like to apologise…",50,Jul-21,Travelled as a couple,5,4,ShangriLa
The best kids experience,"During this COVID-19 pandemic, it has certainly become a hunt for the best hotel experience.   The grandiose of the lobby sets the mood for a good holiday. Ample seating in the lobby means that your partner/family can patiently wait while you get everyone check in with the reception. The check in procedures with clear instructions on facilities booking and a walk through of hotel activities/offering.   Since our room was not quite ready, a fun pack for children was given ahead of time and we were invited for drinks at The Lobby Lounge and for a mere 20mins delay in deliverance of the room $50 dining credits was offered. Service recovery was immediate, I loved their anticipation and keenness in provided the best service.  You will also find plenty of activities without even…",50,Nov-20,Undisclosed,299,132,ShangriLa
Relaxation staycation,"Excellent stay - staff were amazing, even with restrictions and made it feel brilliant! We thoroughly enjoyed the facilities, highlights for the kids were the splash zone and buds play space and for us it was the swimming pool 2-hour slots!",50,Jun-21,Travelled with family,56,40,ShangriLa
Fantastic Valley Wing Experience,It's all about the great service and amenities for families at the Valley Wing! We were very impressed by the cheerful and meticulous service from the start to end of our staycation. My wife and I would like to specially commend Mr Allen Khoo and Ms Nora Ghazali who made our anniversary celebration extra special with their personal touch that is befitting of the high standards set by the Shangri-La brand.   We will definitely look forward to be back again soon!,50,Jul-21,Undisclosed,5,9,ShangriLa
Bad pool experience ,"We had a family stay and of all Shangri-La hotels that I have stayed in, this was the poorest by far. The unpleasant parts: - bad staff behavior by patrolling staff at the pool. I was rudely pointed at and told by a woman in a polo t-shirt uniform to wear my mask even when I had a drink with me near the pool bar. It’s ok to tell the guests but rudeness can never be tolerated   - after each designated hour at the pool, whistles were being blown to get the people out of the pool. We are paying guests and not at a boot camp so this way of telling guests is just not acceptable. Other hotels do this much more gracefully by their staff just giving the guests gentle reminders of the time left.  - pool lounge chairs were filthy and should have been replaced long time ago  - room in the…",20,Mar-21,Undisclosed,58,93,ShangriLa
Valley Wing for the experience,"The whole team in Valley Wing was perfect, from check-in to check out , they made us feel welcome and like family. Smiles and greeting every day. If you seen my reviews you would known that I have stayed in quite a handful of top hotels around the world.  Some how Valley Wing hits it different and made us feel like our home away from home from the friendliness and attentiveness of the staff. This is going to be a long list but it is worth it to mention all the names that have touched us throughout our stay in the Shangri-La Valley Wing.  Mr Rajiv and Mr Ono-san who helped us with our luggage and assisting us when we arrived,  Ms, Iris who made all the arrangements for us upon check in and ensured that our luggage is in the room after our lunch.  Ms Aishah for getting back to…",50,Jul-21,Undisclosed,221,105,ShangriLa
Fabulous family stay - staff are amazing,"With restrictions on travel from Singapore, we decided on a second visit to the fabulous Valley Wing at Shangri-La Singapore.  It most definitely did not disappoint.    The staff at the Shangri-La Valley Wing really did make our stay outstanding.  They are so king and courteous providing such fantastic service.  The room is not the most modern, but it very big and plenty of space for a family of four.  Although you are only allowed one extra bed for one of the children, the other child has to sleep in the bed with you, or on the sofa.  The bed is super comfy and all the amenities in the room are lovely, including robes, slippers and L'Occitane toiletries.  You can also scan a QR code to make any requests such as extra bedding, towels, pillows or toiletries.  They really do make…",50,Jun-21,Undisclosed,114,86,ShangriLa
Very enjoyable stay at the Valley wing,Excellent service from the team. We found ourselves booking the next staycay even before checking out! The staff prepared a cake and surprised us in the room when they realised it was my husband's birthday upon check in. Food was also superb at the waterfall ristorante.,50,Jul-21,Travelled as a couple,5,9,ShangriLa
Memorable birthday staycation!,"The staff were friendly and the hotel was immaculate.  We stayed at Shangri-la Orchard from 9 to 11 July 2021.  We had to book timings for Buds, Splash Zone, pool access and even breakfast which can be annoying having to key in our details repeatedly.. but it's understandable given the current restrictions.  We stayed for 2 nights to celebrate our son's birthday in advance. Entered the room to have a birthday card & cake for him. He even got a room call from the hotel wishing him happy birthday and if everything was ok. After having a blast at Buds & Splash zone.. of course it was perfect.  On the second day, my 4 year old son being a curious boy injured his thumb along the grooved wooden walls at level 1. We figured he had a splinter and he wasn't allowing us to get it out with…",50,Jul-21,Travelled with family,1,0,ShangriLa
Happy 20th Anniversary,"Greetings from your friends from Room 758, VW.  First, we like to express our heartfelt gratitude for all the warm and friendly friends at Shangri-la who left a beautiful footprint in our 20th Anniversary celebration. To only name some (wish I cld remember and see clearly all of their name tags), Aishah (thanks for the photo, and your colleague who brought us a cake), Audrey, Shamai, Eileen, Shamiral, Bella, Kharil (I think I might hv spelled his name wrongly, i do remember he is with the hotel for more than 20 years), Raja (you said this place is your home and you are here to make us at home, I really like that), The chef at Summit Room; The uncle at the Pool who remembers that we requested bottled water at the pool the day before, The house keepers, especially the one who did…",50,Jul-21,Travelled as a couple,59,62,ShangriLa
Marriage Proposal at Diner de Fleurs Shangri-la,"Great staying experience! The view on the top floor was fantastic and the room was spacious and clean. Had a great time with my Fiancee at the Diner de Fleurs, great food preparation by Chef Ganesan, and service by Gerald. Will always remember the moment I proposed to my partner there, an awesome beautiful evening dinner.",50,Jul-21,Undisclosed,9,0,ShangriLa
Staycation ~,"Awesome place with full of fun activities for kids and family gathering~ the staff are thoughtful and kindness; we are surprised with the spacious room and comfort bed, will definitely come back again",50,Jul-21,Travelled with family,5,0,ShangriLa
Birthday staycation at Shangri-La,I have been to many hotels for staycation during the pandemic period and I enjoyed the most in Shangri La. We throughly enjoyed the stay and service. Staffs are friendly and greets us without fail when walked pass us. Restaurant staffs are nice and friendly as well. Very premium and professional customer service. Will definitely come back again with kids next time.,50,Jun-21,Travelled as a couple,7,0,ShangriLa
A Sweet experience Turned Sour (High-Tea),"Writing this without any ill intention, but just to share sincere feedback hoping that the management of Shangri-La Singapore would take my feedback for improvements.   Long story short, I ordered a Rose Veranda high tea set to be delivered as a birthday surprise to my friend late May 2021, but due to various operational hiccups which I did not expect to happen in a luxury hotel, my order was missed and was not delivered, despite myself following up with the hotel before the agreed delivery time, to which the PIC provided sound assurance that my order will be delivered as scheduled.  What was meant as a sweet surprise initially, turned sour as we ended up surprising ourselves that mishaps like this could happen with a 5 star hotel. While the team was very apologetic, a ruined…",20,Jun-21,Travelled with friends,2,4,ShangriLa
Valley Wing - Stingy hotel charging sky high prices,"The hotel is very stingy and not in line with other hotels in the same price bracket. I got the impression that the hotel was trying to nick and dime their guests at every opportunity and give guests the bare minimum that is promised. I would like to take this opportunity to elaboarte.   Firstly, the minibar which was complemenatry with unlimited refills has now been emptied. All items have to be ordered from room service and is chargable. If the hotel is trying to minimise guest contact because of Covid, it would be better for the hotel to stock up the complementary minibar at check in and make it non-refillable. This way, guests would not have to call room service to purchase minibar items and come into contact with hotel staff.   Secondly, The food that is served during…",20,Jun-21,Undisclosed,31,51,ShangriLa
best experience,"The stay even though it was one night, the attention to detail was exceptional. The check-in process was fast and staff attended to me while I was still in the queue and directed me on the form to fill before I reach the check-in desk saving a lot of time. The staff remembers that it was my birthday day and sent a cake with macaroons to celebrate the occasion. The staff Susan went beyond and called in to wish me a happy birthday which was nice. The breakfast was sumptuous and good.The slight disappointment was the line al-carte dinner buffet, the variety of food was limited and there was a difficulty trying to know the actual potion of the dishes base on the illustration on the phone.",50,Jun-21,Undisclosed,2,3,ShangriLa
Valley Wing - the place to really relax and enjoy,"Shangri-la really lived up to our expectation. The staff were very hospitable and attentive to detail. They really make effort to let the guest feel welcome. From check in to check out, every staff were great. Thank you for making our wedding anniversary a memorable one.  For area of improvement, there is just too little charging points in the room. Will be great if coffee cups can also be provided in addition to the tea cups.  We will definitely return for another stay at the Valley Wing.",50,Apr-21,Undisclosed,8,9,ShangriLa
The Valley Wing Experience,"The rooms were excellent. It was well-kept, new and the decor came together perfectly to provide a luxurious and relaxing environment. Our family has stayed in a lot of hotels and this one truly is leading the pack. It was amazing to see 2 chandeliers in our room, an extra-large bed, and experience such immaculate & personal care by the room attendant (Cindy).  She even wrote us a note to say good bye a day before we checked out.   The facilities (Pool, Splash, Buds) were also very well-kept and manned by capable staff. Splash was an especially enjoyable and fun time for the kids.    The afternoon tea and evening cocktails included in the package were fantastic. The Macallan was a 12-yr Sherry Cask, and we had an above-average selection of quality red and white wines ( I think…",50,Jun-21,Undisclosed,3,2,ShangriLa
Best hotel for family staycation,"Service - 100%  Upgraded our deluxe room to a one bedroom suite and it was the best decision made. Hotel provided baby monitor which allowed us to be out of the bedroom, chilling in the living room as baby slept. Hotel also prepared anniversary cake and deco for us. Lovely! Everyone was friendly. One staff, Raja even provided free plain noodles for our toddler’s dinner on two consecutive nights (the first night we asked, the second night he actually remembered and offered!). Cleaning staff were also very prompt. Needed to change our bedsheet quickly cos toddler spilled water right before his bedtime and Cindy got it done within 10 min.   Facilities - 100%  Splash playground and buds were great for our toddler. Limited time slots was a bummer but can only blame the covid…",50,Jun-21,Travelled with family,1,0,ShangriLa
Picnic Staycation Package,"The whole family enjoyed a relaxing stay at Shangri-La. Everything was exceptional and the friendly staff made us feel welcome, checked regularly if there was anything we needed and made the short stay enjoyable. I appreciated the complimentary birthday cake. The kids loved Buds and Splash Zone. And the Treasure Hunt around the hotel premises was fun. The massage and facial at the Chi Spa was excellent and the High Tea was such a treat!",50,Jun-21,Travelled with family,49,10,ShangriLa
"a little upset, overall fine.","There were already few hiccups from the beginning of our stay until the experience upon our departure.  I read some parents reviews who had their staycation during school holidays with their children before I made the booking at Shangri-La. The purpose for this staycation is for my children because I read good reviews for children to spend their activities during the school holiday.   I was quite keen to book with Shangri-La when I read that some parents were given an early check-in at 10 am during the school holiday.  But not in my case, I had requested an early check-in on Tuesday during the school holiday but was rejected through the phone. So, I followed their “rules” and I arrived at 3 pm and still, the room was not ready. I was with my baby & my child was waiting for the…",30,Jun-21,Undisclosed,11,5,ShangriLa
Excellent,"The service was excellent, from the check in to check out. It was a lovely experience and my family enjoyed their their time there. The kids wished the stay was longer and did a small thank you note to the staffs! Thank you for the wonderful experience and we hope to come back again.",50,Jun-21,Undisclosed,39,41,ShangriLa
Wonderful !,"I stayed already in Shangri la the wings, a few years back. Champagne and canapés are included in the evening. Rooms are spacious : more than 50sqm. Staff is super professional and smiling.  And I booked through Marcus ( marcus.teo@shangri-la.com). Best in class customer experience ! Before even staying there, you feel welcomed. The tone of his email/communication is warm and efficient. I am going to stay again early July this year.",50,May-21,Travelled as a couple,90,100,ShangriLa
Whole new level of luxurious experience,"This is my 2nd visits in 6 months. My kid loves the BUDS by Shangri-La so much. The best time for him to make new friends and play in a safe and happy place.  We celebrated my wife birthday, enjoyedstay and play in Valley Wings and had fantastic experience in Shangri-la. Valley wing brings us whole new level of luxurious experience.",50,Jun-21,Travelled with family,4,0,ShangriLa
Lovely and entertaining stay,"Did a one night staycation with the family and the kids simply loved the many activities they had. Buds and splash zone were great activities to keep the kids entertained throughout, not to mention staff were friendly and helpful too making the stay an enjoyable one for the family.",50,Jun-21,Travelled with family,1,2,ShangriLa
Always a pleasure staying at the Shangri-la,"It has always been a pleasure staying at the Shangri-la - both in Orchard and at Sentosa. Once again at our recent stay, our kids enjoyed the facilities and we so appreciate and love the hospitality and service. Keep it up! Cheering you on!",50,Jun-21,Undisclosed,3,4,ShangriLa
Our Go-To Staycation,"Once again we had a wonderful stay at the Shang which has become our go-to hotel for staycations. Since October, the hotel has implemented the Shangri-la Experience App via a QR code which we found helpful and very easy to use.  The app provides information on the hotel, restaurants and spa along with various hotel services: in-room dining, housekeeping, mini-bar, laundry, etc. This is a great replacement for the old hard copy versions in light of Covid.  We stayed in the lovely Valley Wing.  One thing that really stood out about our room was the excellent work of the housekeeping staff.  Even out of sight places such as window ledges and picture frames, had no dust! The chandeliers were also sparkling and these are signs to me of staff who take pride in their work. We also…",50,Mar-21,Undisclosed,63,85,ShangriLa
Cannot Vacation so we Staycation!,"Booked Shangri La Valley Wing room for a staycation with my 3 yo kid.  He loved the room so much he didnt' want to leave during the entire stay! Dragged him out to the Buds playground for an hour of play. We weren't able to do swimming due to rainy weather - will come back again!  Breakfast was served in the room - and the selection was broad! We had so many choices to choose from - Western, Indian, Chinese - and we were really spoilt!  Will recommend to all friends to come for a staycation @ Shangri La!",50,Jun-21,Undisclosed,16,18,ShangriLa
Wonderful Staycation,This was our first time to Shang for staycation and I am so glad that we proceed with it even thou the restrictions were still in place. It was a much needed staycation for the kids as it was the school holidays and we couldn't travel due to Covid. The entire staycation was nothing short of fun. Buds and Splash were heaven for the kids. There were also activities such as treasure hunt which the kids get to explore around the hotel. We had in room dining for the 1st 2 days. Breakfast came in a very generous portion and dinner was great. Only some hipcups with the dinner ordering which took a while to get through but this did not dampen our spirits. Overall a wonderful staycation and the kids are asking when can they go back Shangri La hotel again.,50,Jun-21,Undisclosed,12,8,ShangriLa
Best Hotel Ever!,"It was a splendid staycation! All the staffs were extremely friendly and helpful, top notch customer service. The hotel was surrounded by greenery and the feeling was extremely relaxing !  My son loves the Buds and Splash Zone. Due to Covid-19, there were restrictions on the number of guests for Buds, swimming pool and Splash zone. It was a little disappointed as all activities were fully booked upon our checked in. Fortunately, I was advised to put my name on the wait list and it cleared pretty fast! The gym was well equipped and specious, there was only a handful of guests during my visit at 9 a.m. The son mentioned that this was the Best Hotel Ever! We will come back soon...Thank you =) ",50,Jun-21,Travelled with family,6,6,ShangriLa
Most favourite SG hotel,"This is the third hotel of our hotels hopping staycation and not surprisingly, turned out to be the most enjoyable especially from the kiddo perspective.  This is also our second stay in Shang within a 6 months period; not my most preferred hotel but the kiddo most favourite. So I think Shang investing in kids friendly facilities is the right approach or business strategy.  This time round, the check in took much longer thereabout 40 mins, probably due to the complexity of my packages but I also realized that the front desk staff who attended to me is most likely a newbie. However, he has performed mostly competently.  The room, as usual, is well maintained and generally clean, except for a flattened bee found within the towel. This is a small issue to me since Shang is a garden…",50,May-21,Travelled with family,745,174,ShangriLa
Very Personalised Experience which will be remembered for life!,"Shangri la made the whole experience very personalised. Whenever I call the operator, they address me by my name.  They gifted my wife a birthday cake with simple balloon decoration, special thanks to Yana Arshad and team.  Despite giving me a wrong room in the beginning, they rectified it quickly and made sure the other room is clean and proper.  I love the mattress so much that I actually am considering to buy the same series by Simmons!  We had such a good time and the good experience was just unforgettable. I would like to commend that everyone working in this hotel is very sincere in giving their 100% service.  Shangri la has given such a high standard and I am going to come back again for any celebrations. Raffles hotel better top that, when I come in September 2021.…",50,Jun-21,Undisclosed,6,7,ShangriLa
Excellent stay!,"Was at the hotel during the second week of June. Due to the heightened alerts, there were many places we couldn’t go but luckily the hotel had indoor activities which kept the kids busy. Amazing! The staff even remember the kids names! Breakfast was great and the best part was the lobster laksa.",50,May-21,Travelled with family,173,61,ShangriLa
Great stay!,"The staff are very friendly and accommodating. Service is fantastic!  My kids love ❤️. Very child friendly. We have stayed here thrice and To be honest, shangrila has never failed to deliver. We will definitely stay here again. Check in and out was very fast and hassle free.",50,May-21,Travelled with family,1,0,ShangriLa
Best Children friendly hotel!,The service from the hotel was impeccable as usual. My girls love the Buds playground and Splash pool! The hotel also gave them a goodie bag each upon checking in which delighted them.. Can’t wait to return for another staycation!,50,Jun-21,Travelled with family,1,2,ShangriLa
good in-room dining,I had the best fish and chips in my room  - crispy beer batter and fabulous tartar souce! so delicious. my husband enjoyed his wagyu burger too. the in-room dining made up for the limited facilities. thanks shangrila! the garden view room had a huge balcony and the room was comfortable.,50,Jun-21,Travelled as a couple,11,12,ShangriLa
Last minute getaway with the kid,"A lovely stay and absolutely fantastic service from Shangri-La Orchard Singapore. It was a resort in the middle of the busy shopping belt of Orchard.  From check in to check out, immaculate service.  My kid loved the treasure hunt, BUDs indoor playground and Splash zone water playground. Parents get to have a breather!",50,May-21,Travelled with family,3,2,ShangriLa
A Lush Green Escape!,"Had a a one-night stay at Shangri-la Singapore. We booked for a room in the Garden Wing and were greatly impressed by amount of lush greenery in The Garden Wing Atrium. It was a unique experience, walking to our room as we were further greeted by the waterfall and sound of water crashing onto the rocks.   All in all, impeccable service. Even the porter played balloon with my son while we were registering for check-in. The staff made effort to even remember my kids' names, be it at the Splash Zone or Buds. Thank you for the warm welcome and wonderful stay.",50,Jun-21,Travelled with family,20,10,ShangriLa
Surprising staycation ,"Coming back to our favourite hotel again and this time we are celebrating our anniversary.   1 week before our arrival, I have emailed to Reservation team to help for arranging the surprise amenities for my wife and I got immediate response from them. Thanks to Ms. Nikki Raneses and Ms. Leong Shi Qi for the assist and all the arrangements are well taken care off. They also answered my concern about the dining restrictions properly as now Singapore is having Phase 2 (Heightened Alert) situation.   Upon arrival, warm welcome by bellman team and all the check-in process was smoothly handled by Mr. Shawn Tan - Service Manager at Front Office. We been informed that we got an upgrade to Valley Wing room for this special occasion. Thank you to Front Office team!   Arrived to our room…",50,Jun-21,Travelled as a couple,26,42,ShangriLa
Anniversary Staycation,"We stayed before at the Garden Wing and it was an excellent stay, that's why to celebrate our anniversary this year, we decided to book staycation at Shangri-la again and yes we are not wrong, it was the BEST staycation ever. They extend a complimentary upgrade to Valley Wing, room has no balcony but it is waaayyy prettier room and bigger room. We are sooo in love with Valley Wing. Special thanks to Shawn that checked us in and also Guest Relation Team that arranged the anniversary amenities for us. There was some glitch for our in room dining dinner but they resolved the problem immediately and not letting us feel down. Thank you for the In room dining, Engineering (that helped us with the sound system), houskeeping team, and guest service center team that makes our stay very…",50,Jun-21,Undisclosed,10,22,ShangriLa
Excellent Staycation,We have really enjoyed our stay. All your staff from reception to restaurant are very attentive. The room was excellent even those it is not the modern accommodation. We love the all day champagne and cocktails.  Thanks for the compliment cake for our anniversary!,50,May-21,Undisclosed,32,10,ShangriLa
